Study_ID,Publication Year,Author,Title,Publication Title,Database,Exclude,Reason ID,Paediatric,Intention Reported,Deliberate intention,Unclear,Accessed,Comments,Study_Design,Population_Type,Study_Setting,Study_Location,DOI,Data_Extracted,Bib_Search_Complete,Publication Year_clean,Author_clean,Title_clean,Publication Title_clean
642,2015,"Upadhyay, Surjya Prasad; Zahir, Mohammad; Muttari, Hasan Al; Mallick, Piyush N.",A rare case of unusual migrated foreign bodies in kidney and their successful extraction using retrograde percutaneous nephrostomy,Qatar Medical Journal,Bibliography Search,,,,,,,30/03/2025 10:11,,,,,,,,N,2015,"upadhyay, surjya prasad; zahir, mohammad; muttari, hasan al; mallick, piyush n.",a rare case of unusual migrated foreign bodies in kidney and their successful extraction using retrograde percutaneous nephrostomy,qatar medical journal
643,2016,"Atayan, Yahya; Cagin, Yasir Furkan; Erdogan, Mehmet Ali; Bilgic, Yılmaz; Bestas, Remzi; Harputluoglu, Murat; Seckin, Yüksel",Lighter Ingestion as an Uncommon Cause of Severe Vomiting in a Schizophrenia Patient,Case Reports in Gastrointestinal Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2016,"atayan, yahya; cagin, yasir furkan; erdogan, mehmet ali; bilgic, yƒ±lmaz; bestas, remzi; harputluoglu, murat; seckin, y√ºksel",lighter ingestion as an uncommon cause of severe vomiting in a schizophrenia patient,case reports in gastrointestinal medicine
644,2016,"August, Auriel; Mueller, Claudia",Early recognition is important when multiple magnets masquerade as a single chain after foreign body ingestion,Journal of Pediatric Surgery Case Reports,Bibliography Search,,,,,,,14/04/2025 14:44,,,,,,,,N,2016,"august, auriel; mueller, claudia",early recognition is important when multiple magnets masquerade as a single chain after foreign body ingestion,journal of pediatric surgery case reports
645,2016,"Bekkerman, Mikhael; Sachdev, Amit H.; Andrade, Javier; Twersky, Yitzhak; Iqbal, Shahzad",Endoscopic Management of Foreign Bodies in the Gastrointestinal Tract: A Review of the Literature,Gastroenterology Research and Practice,Bibliography Search,,,,,,,,,,,,,,,N,2016,"bekkerman, mikhael; sachdev, amit h.; andrade, javier; twersky, yitzhak; iqbal, shahzad",endoscopic management of foreign bodies in the gastrointestinal tract: a review of the literature,gastroenterology research and practice
646,2016,"Elghali, Mohamed amine; Ghrissi, Rafik; Fadhl, Houssem; Mahjoub, Mohamed; Jarrar, Mohamed Salah; Jedidi, Maher; Letaief, Rached; Hamila, Fehmi",The Management of Voluntary Ingestion of Razor Blades by Inmates,International Surgery,Bibliography Search,,,,,,,14/04/2025 14:41,,,,,,,,N,2016,"elghali, mohamed amine; ghrissi, rafik; fadhl, houssem; mahjoub, mohamed; jarrar, mohamed salah; jedidi, maher; letaief, rached; hamila, fehmi",the management of voluntary ingestion of razor blades by inmates,international surgery
647,2016,"Geraci, Girolamo; Sciume', Carmelo; Di Carlo, Giovanni; Picciurro, Antonino; Modica, Giuseppe",Retrospective analysis of management of ingested foreign bodies and food impactions in emergency endoscopic setting in adults,BMC emergency medicine,Bibliography Search,,,,,,,,,,,,,,,N,2016,"geraci, girolamo; sciume', carmelo; di carlo, giovanni; picciurro, antonino; modica, giuseppe",retrospective analysis of management of ingested foreign bodies and food impactions in emergency endoscopic setting in adults,bmc emergency medicine
648,2016,"Hershman, Melissa",Pointing towards colonoscopy: sharp foreign body removal via colonoscopy,Annals of Gastroenterology,Bibliography Search,,,,,,,14/04/2025 13:59,,,,,,,,N,2016,"hershman, melissa",pointing towards colonoscopy: sharp foreign body removal via colonoscopy,annals of gastroenterology
649,2016,"Kiran, S.; Gupta, Deepak; Sadalage, Abhishek; Gupte, Amit; Jain, Abhinav; Shukla, Akash",Swallowed toothbrush: Case series,Journal of Digestive Endoscopy,Bibliography Search,,,,,,,14/04/2025 13:47,,,,,,,,N,2016,"kiran, s.; gupta, deepak; sadalage, abhishek; gupte, amit; jain, abhinav; shukla, akash",swallowed toothbrush: case series,journal of digestive endoscopy
650,2016,"Leinwand, Kristina; Brumbaugh, David E.; Kramer, Robert E.",Button Battery Ingestion in Children: A Paradigm for Management of Severe Pediatric Foreign Body Ingestions,Gastrointestinal Endoscopy Clinics of North America,Bibliography Search,,,,,,,14/04/2025 10:53,,,,,,,,N,2016,"leinwand, kristina; brumbaugh, david e.; kramer, robert e.",button battery ingestion in children: a paradigm for management of severe pediatric foreign body ingestions,gastrointestinal endoscopy clinics of north america
651,2016,"Mazek, Haitham; Sherif, Khaled; Islam, Sameer; Nugent, Kenneth",An Unusual Number of Self-ingested Foreign Bodies,The American Journal of the Medical Sciences,Bibliography Search,,,,,,,,,,,,,,,N,2016,"mazek, haitham; sherif, khaled; islam, sameer; nugent, kenneth",an unusual number of self-ingested foreign bodies,the american journal of the medical sciences
652,2016,"Obinwa, Obinna; Cooper, David; O’Riordan, James M.",An ingested mobile phone in the stomach may not be amenable to safe endoscopic removal using current therapeutic devices: A case report,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,14/04/2025 13:57,,,,,,,,N,2016,"obinwa, obinna; cooper, david; o‚äôriordan, james m.",an ingested mobile phone in the stomach may not be amenable to safe endoscopic removal using current therapeutic devices: a case report,international journal of surgery case reports
653,2016,"Trachsel, Manuel; Irwin, Scott A.; Biller-Andorno, Nikola; Hoff, Paul; Riese, Florian","Palliative psychiatry for severe persistent mental illness as a new approach to psychiatry? Definition, scope, benefits, and risks",BMC psychiatry,Bibliography Search,,,,,,,,,,,,,,,N,2016,"trachsel, manuel; irwin, scott a.; biller-andorno, nikola; hoff, paul; riese, florian","palliative psychiatry for severe persistent mental illness as a new approach to psychiatry? definition, scope, benefits, and risks",bmc psychiatry
654,2017,"Ali, Syed Muhammad",Duodenal Perforation by Swallowed Toothbrush: Case Report and Review of Literature,Open Access Journal of Surgery,Bibliography Search,,,,,,,14/04/2025 13:49,,,,,,,,N,2017,"ali, syed muhammad",duodenal perforation by swallowed toothbrush: case report and review of literature,open access journal of surgery
656,2017,"Sarici, Inanc Samil; Topuz, Omer; Sevim, Yusuf; Sarigoz, Talha; Ertan, Tamer; Karabıyık, Ozgur; Koc, Ali",Endoscopic Management of Colonic Perforation due to Ingestion of a Wooden Toothpick,The American Journal of Case Reports,Bibliography Search,,,,,,,,,,,,,,,N,2017,"sarici, inanc samil; topuz, omer; sevim, yusuf; sarigoz, talha; ertan, tamer; karabƒ±yƒ±k, ozgur; koc, ali",endoscopic management of colonic perforation due to ingestion of a wooden toothpick,the american journal of case reports
657,2017,"Zamary, Kirellos R.; Davis, James W.; Ament, Emily E.; Dirks, Rachel C.; Garry, John E.",This too shall pass: A study of ingested sharp foreign bodies,Journal of Trauma and Acute Care Surgery,Bibliography Search,,,,,,,14/04/2025 14:01,,,,,,,,N,2017,"zamary, kirellos r.; davis, james w.; ament, emily e.; dirks, rachel c.; garry, john e.",this too shall pass: a study of ingested sharp foreign bodies,journal of trauma and acute care surgery
658,2018,"Camacho Dorado, Cristina; Sánchez Gallego, Alba; Miota de Llama, Jose Ignacio; González Masiá, Jose Antonio",Metallic bezoar after suicide attempt,Cirugia Espanola,Bibliography Search,,,,,,,,,,,,,,,N,2018,"camacho dorado, cristina; s√°nchez gallego, alba; miota de llama, jose ignacio; gonz√°lez masi√°, jose antonio",metallic bezoar after suicide attempt,cirugia espanola
660,2018,"Dal, Fatih; Hatipoğlu, Engin; Teksöz, Serkan; Ertem, Metin",Foreign body: A sewing needle migrating from the gastrointestinal tract to pancreas,Turkish Journal of Surgery,Bibliography Search,,,,,,,,,,,,,,,N,2018,"dal, fatih; hatipoƒülu, engin; teks√∂z, serkan; ertem, metin",foreign body: a sewing needle migrating from the gastrointestinal tract to pancreas,turkish journal of surgery
661,2018,"Emamhadi, Mohammad Ali; Najari, Fares; Hedayatshode, Mohammad Javad; Sharif, Shokoufeh",Sudden Death Following Oral Intake of Metal Objects (Acuphagia): a Case Report,"Emergency (Tehran, Iran)",Bibliography Search,,,,,,,,,,,,,,,,,,,
662,2018,"Libânio, Diogo; Garrido, Mónica; Jácome, Filipa; Dinis-Ribeiro, Mário; Pedroto, Isabel; Marcos-Pinto, Ricardo",Foreign body ingestion and food impaction in adults: better to scope than to wait,United European Gastroenterology Journal,Bibliography Search,,,,,,,,,,,,,,,N,2018,"lib√¢nio, diogo; garrido, m√≥nica; j√°come, filipa; dinis-ribeiro, m√°rio; pedroto, isabel; marcos-pinto, ricardo",foreign body ingestion and food impaction in adults: better to scope than to wait,united european gastroenterology journal
663,2018,"Montacer, Khaoula El; Haddad, Fouad; Mansouri, Souhaila El; Tahiri, Mohammed; Hliwa, Wafaa; Bellabah, Ahmed; Badre, Wafaa",[An ileo-caecal foreign body mimicking a Crohn disease: case report],The Pan African Medical Journal,Bibliography Search,,,,,,,,,,,,,,,N,2018,"montacer, khaoula el; haddad, fouad; mansouri, souhaila el; tahiri, mohammed; hliwa, wafaa; bellabah, ahmed; badre, wafaa",[an ileo-caecal foreign body mimicking a crohn disease: case report],the pan african medical journal
664,2018,"Yuan, Fangfang; Tang, Xiaowei; Gong, Wei; Su, Lei; Zhang, Yali",Endoscopic management of foreign bodies in the upper gastrointestinal tract: An analysis of 846 cases in China,Experimental and Therapeutic Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2018,"yuan, fangfang; tang, xiaowei; gong, wei; su, lei; zhang, yali",endoscopic management of foreign bodies in the upper gastrointestinal tract: an analysis of 846 cases in china,experimental and therapeutic medicine
665,2019,"Al-Musawi, Mohammed; Rubay, David; Ohanisian, Levonti; Sidley, Angel; Abed, Ali N.",An Unusual Presentation of a Cardiac Foreign Body in a Pediatric Patient,Cureus,Bibliography Search,,,,,,,,,,,,,,,N,2019,"al-musawi, mohammed; rubay, david; ohanisian, levonti; sidley, angel; abed, ali n.",an unusual presentation of a cardiac foreign body in a pediatric patient,cureus
667,2019,,Paper or Plastic? A Foreign Body Ingestion Leading to Small Bowel Obstruction. A Case Report,ARC Journal of Clinical Case Reports,Bibliography Search,,,,,,,14/04/2025 12:42,,,,,,,,N,2019,,paper or plastic? a foreign body ingestion leading to small bowel obstruction. a case report,arc journal of clinical case reports
669,2020,"Lee, Jeffrey; Thomas, Jessina; Rowland, Patrick; Jump, Candi",Ingestion of an Entire Vaping Device,Journal of Pediatric Gastroenterology and Nutrition,Bibliography Search,,,,,,,14/04/2025 13:43,,,,,,,,N,2020,"lee, jeffrey; thomas, jessina; rowland, patrick; jump, candi",ingestion of an entire vaping device,journal of pediatric gastroenterology and nutrition
670,2020,"Limpias Kamiya, Kenji Jl; Hosoe, Naoki; Takabayashi, Kaoru; Hayashi, Yukie; Sun, Xi; Miyanaga, Ryoichi; Fukuhara, Kayoko; Fukuhara, Seiichiro; Naganuma, Makoto; Nakayama, Atsushi; Kato, Motohiko; Maehata, Tadateru; Nakamura, Rieko; Ueno, Koichi; Sasaki, Junichi; Kitagawa, Yuko; Yahagi, Naohisa; Ogata, Haruhiko; Kanai, Takanori",Endoscopic removal of foreign bodies: A retrospective study in Japan,World Journal of Gastrointestinal Endoscopy,Bibliography Search,,,,,,,,,,,,,,,N,2020,"limpias kamiya, kenji jl; hosoe, naoki; takabayashi, kaoru; hayashi, yukie; sun, xi; miyanaga, ryoichi; fukuhara, kayoko; fukuhara, seiichiro; naganuma, makoto; nakayama, atsushi; kato, motohiko; maehata, tadateru; nakamura, rieko; ueno, koichi; sasaki, junichi; kitagawa, yuko; yahagi, naohisa; ogata, haruhiko; kanai, takanori",endoscopic removal of foreign bodies: a retrospective study in japan,world journal of gastrointestinal endoscopy
672,2020,"Pawar, Ankush; Dalal, Ashok; Dahale, Amol; Sachdeva, Sanjeev; Puri, Amarender Singh",Mobile Phone in Stomach—Is Endoscopic Trial Worthwhile?: A Case Report,Journal of Digestive Endoscopy,Bibliography Search,,,,,,,14/04/2025 13:57,,,,,,,,N,2020,"pawar, ankush; dalal, ashok; dahale, amol; sachdeva, sanjeev; puri, amarender singh",mobile phone in stomach‚äîis endoscopic trial worthwhile?: a case report,journal of digestive endoscopy
673,2020,"Skok, Pavel; Skok, Kristijan","Urgent endoscopy in patients with ""true foreign bodies"" in the upper gastrointestinal tract - a retrospective study of the period 1994-2018",Zeitschrift Fur Gastroenterologie,Bibliography Search,,,,,,,,,,,,,,,N,2020,"skok, pavel; skok, kristijan","urgent endoscopy in patients with ""true foreign bodies"" in¬†the¬†upper¬†gastrointestinal tract - a retrospective study of¬†the¬†period 1994-2018",zeitschrift fur gastroenterologie
674,2020,"Tsuruya, Kota; Chino, Osamu; Tanaka, Yoichi; Shimma, Yoshimasa; Tsuda, Shingo; Kikuchi, Masahiro; Shiozawa, Hirokazu; Aoki, Jun; Nakamura, Tomoki; Hanashi, Tomoko; Suzuki, Takayoshi; Matsushima, Masashi",Successful combination of endoscopic and laparoscopic removal of multiple ingested needles: A case report,Medicine,Bibliography Search,,,,,,,,,,,,,,,N,2020,"tsuruya, kota; chino, osamu; tanaka, yoichi; shimma, yoshimasa; tsuda, shingo; kikuchi, masahiro; shiozawa, hirokazu; aoki, jun; nakamura, tomoki; hanashi, tomoko; suzuki, takayoshi; matsushima, masashi",successful combination of endoscopic and laparoscopic removal of multiple ingested needles: a case report,medicine
675,2021,"AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu; AlMuhsin, Ahmed M.; Alsalman, Fatima; Bubshait, Ahmad; Hajar, Rami O. Abu",Surgical Management of Massive Metal Bezoar,Cureus,Bibliography Search,,,,,,,30/03/2025 10:19,,,,,,,,N,2021,"almuhsin, ahmed m.; alsalman, fatima; bubshait, ahmad; hajar, rami o. abu; almuhsin, ahmed m.; alsalman, fatima; bubshait, ahmad; hajar, rami o. abu",surgical management of massive metal bezoar,cureus
676,2021,"Kappagantu, Vignan; Mishra, Prakash Ranjan; Ranjan, Anupam Kumar; Aggarwal, Praveen; Agarwal, Ashish; G., Bharath",Mobile phone ingestion requiring endoscopic retrieval,The American Journal of Emergency Medicine,Bibliography Search,,,,,,,14/04/2025 13:57,,,,,,,,N,2021,"kappagantu, vignan; mishra, prakash ranjan; ranjan, anupam kumar; aggarwal, praveen; agarwal, ashish; g., bharath",mobile phone ingestion requiring endoscopic retrieval,the american journal of emergency medicine
678,2021,"Wang, Xin; Su, Shuai; Chen, Yiming; Wang, Zelan; Li, Ying; Hou, Junjie; Zhong, Weilong; Wang, Yuming; Wang, Bangmao","The removal of foreign body ingestion in the upper gastrointestinal tract: a retrospective study of 1,182 adult cases",Annals of Translational Medicine,Bibliography Search,,,,,,,30/03/2025 10:32,,,,,,,,N,2021,"wang, xin; su, shuai; chen, yiming; wang, zelan; li, ying; hou, junjie; zhong, weilong; wang, yuming; wang, bangmao","the removal of foreign body ingestion in the upper gastrointestinal tract: a retrospective study of 1,182 adult cases",annals of translational medicine
679,2022,"Liu, Qing; Liu, Fei; Xie, Huahong; Dong, Jiaqiang; Chen, Hui; Yao, Liping",Emergency Removal of Ingested Foreign Bodies in 586 Adults at a Single Hospital in China According to the European Society of Gastrointestinal Endoscopy (ESGE) Recommendations: A 10-Year Retrospective Study,Medical Science Monitor: International Medical Journal of Experimental and Clinical Research,Bibliography Search,,,,,,,,,,,,,,,N,2022,"liu, qing; liu, fei; xie, huahong; dong, jiaqiang; chen, hui; yao, liping",emergency removal of ingested foreign bodies in 586 adults at a single hospital in china according to the european society of gastrointestinal endoscopy (esge) recommendations: a 10-year retrospective study,medical science monitor: international medical journal of experimental and clinical research
680,2022,"Mesfin, Telila; Tekalegn, Yohannes; Aman, Mudesir; Geta, Girma; Ketema, Adugna; Defere, Fekata; Girma, Dejene; Tsegaye, Mesfin; Mengistu, Takele; Seyoum, Kenbon",Ingestion of Metallic Materials Found in the Stomach and First Part of the Duodenum of a Schizophrenic Man: Case Report,International Medical Case Reports Journal,Bibliography Search,,,,,,,,,,,,,,,N,2022,"mesfin, telila; tekalegn, yohannes; aman, mudesir; geta, girma; ketema, adugna; defere, fekata; girma, dejene; tsegaye, mesfin; mengistu, takele; seyoum, kenbon",ingestion of metallic materials found in the stomach and first part of the duodenum of a schizophrenic man: case report,international medical case reports journal
681,2022,"Mesfin, Yikunoamlak",The Will to Live and Reverence for Life: A Philosophical Base for Biocentrism,International Journal of Applied Philosophy,Bibliography Search,,,,,,,14/04/2025 12:38,,,,,,,,N,2022,"mesfin, yikunoamlak",the will to live and reverence for life: a philosophical base for biocentrism,international journal of applied philosophy
682,2022,"Sagvand, Babak T.; Najafali, Daniel; Yardi, Isha; Sahadzic, Iana; Afridi, Leenah; Kohler, Alyssa; Afridi, Ikram; Kaur, Noorvir; Tran, Quincy K.",Emergent Endoscopy for Esophageal Foreign Body Removal: The Impact of Location,Cureus,Bibliography Search,,,,,,,,,,,,,,,N,2022,"sagvand, babak t.; najafali, daniel; yardi, isha; sahadzic, iana; afridi, leenah; kohler, alyssa; afridi, ikram; kaur, noorvir; tran, quincy k.",emergent endoscopy for esophageal foreign body removal: the impact of location,cureus
683,2022,"Yan, Tyler D.; Leung, Philemon H. Y.; Zwirewich, Charles; Harris, Alison; Chartier-Plante, Stephanie",An unusual cause of pericardial effusion: A case report of a hepatic abscess following foreign body migration and duodenal perforation,International Journal of Surgery Case Reports,Bibliography Search,,,,,,,14/04/2025 14:09,,,,,,,,N,2022,"yan, tyler d.; leung, philemon h. y.; zwirewich, charles; harris, alison; chartier-plante, stephanie",an unusual cause of pericardial effusion: a case report of a hepatic abscess following foreign body migration and duodenal perforation,international journal of surgery case reports
684,2023,"Anand, Madhur; Topno, Noor; Lynrah, Kyrshanlang G.; Aggarwal, Swati",Doormatobezoar: first case report of a bezoar formed by doormat ingestion,International Surgery Journal,Bibliography Search,,,,,,,14/04/2025 12:39,,,,,,,,N,2023,"anand, madhur; topno, noor; lynrah, kyrshanlang g.; aggarwal, swati",doormatobezoar: first case report of a bezoar formed by doormat ingestion,international surgery journal
686,2023,"Jin, Shengjian; Horiguchi, Taigo; Ma, Xiaolong; Yuan, Shichao; Liu, Qingguo",Metallic foreign bodies ingestion by schizophrenic patient: a case report,Annals of Medicine and Surgery,Bibliography Search,,,,,,,30/03/2025 10:22,,,,,,,,N,2023,"jin, shengjian; horiguchi, taigo; ma, xiaolong; yuan, shichao; liu, qingguo",metallic foreign bodies ingestion by schizophrenic patient: a case report,annals of medicine and surgery
687,2023,"Ngu, Natalie Lee Yee; Karp, Jadon; Taylor, Kirstin","Patient characteristics, outcomes and hospital-level healthcare costs of foreign body ingestion from an Australian, non-prison referral centre",BMJ Open Gastroenterology,Bibliography Search,,,,,,,30/03/2025 10:21,,,,,,,,N,2023,"ngu, natalie lee yee; karp, jadon; taylor, kirstin","patient characteristics, outcomes and hospital-level healthcare costs of foreign body ingestion from an australian, non-prison referral centre",bmj open gastroenterology
689,2024,,(PDF) Doormatobezoar: first case report of a bezoar formed by doormat ingestion,ResearchGate,Bibliography Search,,,,,,,14/04/2025 12:39,,,,,,,,,,,,
690,2024,,Bite the bullet: Lead poisoning after ingestion of 206 lead bullets,ResearchGate,Bibliography Search,,,,,,,12/03/2025 15:37,,,,,,,,,,,,
691,,"Song, Young S; Covarrubias, Diego A; Nardi, Peter M",Foreign Body Appendicitis,,Bibliography Search,,,,,,,,,,,,,,,,,,,
692,,,Endoscopic Retrieval of an Intentionally Ingested Mobile Phone in an Adult: First Case Report of its Kind,,Bibliography Search,,,,,,,14/04/2025 13:57,,,,,,,,,,,,
693,,,Escalating Ingestion of Razor Blades in a Patient With Borderline Personality Disorder,Psychiatrist.com,Bibliography Search,,,,,,,14/04/2025 14:34,,,,,,,,,,,,
694,,,"Frequent Deliberate Self-Harm: Repetition, Suicide and Cost after Three or More Years - C R Rodger, 1995",,Bibliography Search,,,,,,,12/03/2025 15:31,,,,,,,,,,,,
695,,,Journey of a Swallowed Toothbrush to the Colon,,Bibliography Search,,,,,,,14/04/2025 14:10,,,,,,,,,,,,
