Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
,"Jackson, C.",C Jackson,C Jackson - 1915 - books.google.com,,Peroral endoscopy and laryngeal surgery,A number of repetitions of fundamental facts have been necessary in order to facilitate ready reference in the limited time available for the busy surgeon without perusing the entire book…,https://books.google.com/books?hl=en&lr=&id=EvA0AQAAMAAJ&oi=fnd&pg=PA11&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=iKdES13jEM&sig=cm0EgpH_Jnhj-JkYuIQa5adctIg,Google Scholar,,,
,"Lundvall, R.",R Lundvall,R Lundvall - 1956,,Prevention of traumatic gastritis by the use of permanent bar magnets in the reticulum.,,,Google Scholar,,,
,"Divers, T.","TS Mair, TJ Divers","TS Mair, TJ Divers - 2015 - books.google.com",,Equine Internal Medicine: Self-Assessment Color Review Second Edition,"Written by well-respected experts in the field, this new edition of a bestseller has been completely updated and includes all new cases. The cases appear in random order, just as they …",https://books.google.com/books?hl=en&lr=&id=s-j5CQAAQBAJ&oi=fnd&pg=PP1&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=PdR-iOFijx&sig=RE68fPFfLcw0bCG2IfiM3SG7xjs,Google Scholar,,,
,"Amador, E.","EA Arias, N Amador","EA Arias, N Amador - 2008 - books.google.com",,NMS review for the USMLE clinical skills exam,This fully revised Second Edition offers a complete review for the USMLE Step 2 Clinical Skills (CS) exam. It covers all diseases encountered on the exam and prepares students to …,https://books.google.com/books?hl=en&lr=&id=BXixoy1E3EQC&oi=fnd&pg=PP17&dq=++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)++++++++++++++++++++++++AND++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)++++++++++++++++++++++++&ots=9iMY8PvMG9&sig=2WUJE3emfhbCnPhr3ye_s4TGdwY,Google Scholar,,,
,"Association, B.",British Medical Association,British Medical Association - 2002 - Dorling Kindersley Ltd,,"BMA Illustrated Medical Dictionary: Essential A? Z Quick Reference to Over 5,000 Medical Terms",,,Google Scholar,,,
,"Francardo, S.",SM Francardo,SM Francardo - 2017 - books.google.com,,Anthroposophic Medicine for all the Family: Recognizing and treating the most common disorders,"This invaluable book not only provides practical suggestions and advice regarding common medical issues and ailments, but also presents the fundamental principles of …",https://books.google.com/books?hl=en&lr=&id=pSaoDgAAQBAJ&oi=fnd&pg=PA7&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=N7AQHtBDY9&sig=n2dbKrXTItl1_EH6zoef6U9oE74,Google Scholar,,,
,"Lundberg, P.","PB Fontanarosa, GD Lundberg","PB Fontanarosa, GD Lundberg - academia.edu",,There cannot be two kinds of medicine—conventional and alternative. There is only medicine that has been adequately tested and medicine that has not …,"Now that I have spent 25 years teaching veterinary ethics and working closely with veterinarians in virtually every area of veterinary medicine, it seems appropriate to make some …",https://www.academia.edu/download/52883075/_5BDavid_W._Ramey__Bernard_E._Rollin_5D_Complementary_BookZZ.org.pdf,Google Scholar,,,
,"Attewell, N.",N Attewell,N Attewell - 2014 - books.google.com,,"Better Britons: Reproduction, Nation, and the Afterlife of Empire","In 1932, Aldous Huxley published Brave New World, his famous novel about a future in which humans are produced to spec in laboratories. Around the same time, Australian legislators …",https://books.google.com/books?hl=en&lr=&id=azXJAgAAQBAJ&oi=fnd&pg=PP1&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=pQrC52HOgG&sig=zGGaDMUfFUaF0r09QDq25uOrT9I,Google Scholar,,,
,"Howe, A.",AJ Howe,AJ Howe - 1883 - books.google.com,,A Practical and systematic treatise on fractures and dislocations,"37. Fracture of the shaft of the humerus...... PAGE. 123 124 38. Dressing for fracture of the shaft of the humerus............. 39. Diastasis, or separation of the lower epiphysis of the humerus..…",https://books.google.com/books?hl=en&lr=&id=Ytbwai27-EMC&oi=fnd&pg=PR9&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=ewjQz3NQmQ&sig=4XkfqHInYkI-jYOWaTkpzbqZOU0,Google Scholar,,,
,"Roger, H.",H Roger,H Roger - 1901 - books.google.com,,Introduction to the Study of Medicine,"THE rapid and marvellous developments recently made along the lines of medical sciences have rendered the task of both teacher and student increasingly difficult. It is not strange, …",https://books.google.com/books?hl=en&lr=&id=X78RAAAAYAAJ&oi=fnd&pg=PA1&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=Gzx7YSI3hL&sig=tPq7Etm-PvcSeKm8iQ7ehhVgdtU,Google Scholar,,,
,"Lang, H.",H Lang,H Lang - 2023 - books.google.com,,Out-of Hospital Ventilation: An Interdisciplinary Perspective on Landscape and Health,"Safe handling of patient and device in home ventilation! This book offers all relevant contents of the further training"" Basic qualification extra-clinical artificial respiration"" and addresses …",https://books.google.com/books?hl=en&lr=&id=5CnBEAAAQBAJ&oi=fnd&pg=PR5&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=J6dh9bBrUL&sig=PILK9xMElKg0VpFLlQLg4gv-oLk,Google Scholar,,,
,"Saupe, H.",H Saupe,H Saupe - 2022 - books.google.com,,Holistic Cancer Medicine: Integrative Strategies for a New Approach to Health and Healing,"A groundbreaking, comprehensive guide on managing, treating, and preventing cancer.* Introducing: The Holistic Model of the Twelve Vital Fields* It’sa sad truth of our times that one in …",https://books.google.com/books?hl=en&lr=&id=AX6rEAAAQBAJ&oi=fnd&pg=PR11&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=pEZ7Dl77_F&sig=IAcD1efjceGQskUVtI6qbO2zD9I,Google Scholar,,,
,"Patel…, Ã.","ÃQY Liu, R Gugig, DM Troendle, S Bitton, N Patel…","ÃQY Liu, R Gugig, DM Troendle, S Bitton, N Patel… - spgp.pt",,SOCIETY PAPER,"Introduction: Pediatric chronic pancreatitis is increasingly diagnosed. Endoscopic methods [endoscopic ultrasound (EUS), endoscopic retrograde cholangiopancreatography (ERCP)] …",http://www.spgp.pt/media/1287/e-e-p-pancreatite-cr%C3%B3nica-e-endoscopia-naspghan-2020-jpgn-the_roles_of_endoscopic_ultrasound_and_endoscopic27.pdf,Google Scholar,,,
,"OTOLOGISTS, L.",L OTOLOGISTS,L OTOLOGISTS - 1892 - cambridge.org,,ASSOCIATION MEETINGS.,"About twenty-five Belgian physicians comprised the meeting, which was presided over by Dr. Schiffers. Among the strangers present were Drs. Gouguenheim (Paris), Noquet (Lille), …",https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/association-meetings/D299AB7DFFB53713A05750F7D0CF041A,Google Scholar,,,
,"Gunn, C.",C Gunn,C Gunn - 2007 - books.google.com,,Churchill Livingstone Pocket Radiography and Medical Imaging Dictionary E-Book: Churchill Livingstone Pocket Radiography and Medical Imaging …,"This title is directed primarily towards health care professionals outside of the United States. It is a dictionary of terms used in imaging departments covering radiography, radiotherapy, …",https://books.google.com/books?hl=en&lr=&id=hZDQAQAAQBAJ&oi=fnd&pg=PP1&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=uk0miJneJL&sig=j4lNSSX15vf_9TOOfdd3lYHfSnQ,Google Scholar,,,
,"Hager, T.",T Hager,T Hager - 2007 - books.google.com,,"The demon under the microscope: from battlefield hospitals to Nazi labs, one doctor's heroic search for the world's first miracle drug","In The Demon Under the Microscope, Thomas Hager chronicles the dramatic history of sulfa, the first antibiotic and the drug that shaped modern medicine. The Nazis discovered it. The …",https://books.google.com/books?hl=en&lr=&id=Psb5Wa2Vl-oC&oi=fnd&pg=PR7&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=hTrobHvKm9&sig=hgO72lsVfzw77NOBBUnFfgh_I3g,Google Scholar,,,
,"Rawles, N.",N Rawles,N Rawles - 2007 - books.google.com,,Crawfish Dreams,For forty years Camille Broussard has cooked for other people. As a young bride she moved from Louisiana to Los Angeles and settled in the thriving community of Watts; but many of …,https://books.google.com/books?hl=en&lr=&id=TOGCA0Njd18C&oi=fnd&pg=PA3&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=SMJhAubYpC&sig=W26KuQIk-25Ji5oCYEYqW3EJ8xs,Google Scholar,,,
,"Rollin, D.","DW Ramey, BE Rollin","DW Ramey, BE Rollin - 2008 - books.google.com",,Complementary and alternative veterinary medicine considered,Complementary and Alternative Veterinary Medicine Considered is a book that belongs in your veterinary library. If you are a veterinarian wondering if you should incorporate …,https://books.google.com/books?hl=en&lr=&id=CF9x9-XfitsC&oi=fnd&pg=PR7&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=9Qr7p4GoNq&sig=ld_f1G8E6kxg5cM_5BlS4LsNK5A,Google Scholar,,,
,"Miller, G.",GW Miller,GW Miller - 2000 - books.google.com,,King of hearts: the true story of the maverick who pioneered open heart surgery,"Few of the great stories of medicine are as palpably dramatic as the invention of open-heart surgery, yet, until now, no journalist has ever brought all of the thrilling specifics of this …",https://books.google.com/books?hl=en&lr=&id=jZv0DwAAQBAJ&oi=fnd&pg=PR13&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=hiSJG7TEjQ&sig=DlqTiCYSFhvY1Qw_qsHyd50jOz4,Google Scholar,,,
,"Wilcock, B.","B Grahn, R Peiffer, B Wilcock","B Grahn, R Peiffer, B Wilcock - 2018 - books.google.com",,Histologic basis of ocular disease in animals,"Histologic Basis of Ocular Disease in Animals ist ein umfassendes Referenzwerk zur Pathologie der Augen bei einer ganzen Reihe von Tierarten, ua Haustiere, Fische, Vögel und …",https://books.google.com/books?hl=en&lr=&id=kA1rDwAAQBAJ&oi=fnd&pg=PR3&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=BXPnLPfFii&sig=QvSzP_F5-xSXf3xkYkLIoc-HUjI,Google Scholar,,,
,"RI, Q.",Q RI,Q RI - search.proquest.com,,IMPR ovMENTs AND D 1scov ERIE s,"IMPR ovMENTs AND D 1scov ERIE s Page 1 QUARTE RI, Y SU MMARY OF ""THE IMPR ovMENTs AND D 1scov ERIE s IN THE MI EDICAL, SCIENCES . ANATOMY AND …",https://search.proquest.com/openview/eb41c2191c533ca1cb12666be281b98b/1?pq-origsite=gscholar&cbl=41361,Google Scholar,,,
,"Illenyi, J.","J Hirschberg, T Szende, P Koltai, A Illenyi","J Hirschberg, T Szende, P Koltai, A Illenyi - 2008 - books.google.com",,"Pediatric Airway: Cry, Stridor and Cough","This multidisciplinary book describes 42 different pathological sounds, occurring in different combinations, in 54 different pathological conditions. Uniquely, while recognizing the …",https://books.google.com/books?hl=en&lr=&id=Z1o0BwAAQBAJ&oi=fnd&pg=PP6&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=j7THs_3J0O&sig=PqgVKovdZ5nbOVqgIC3HAnAw2_8,Google Scholar,,,
,"Coonar, F.","FC Wells, AS Coonar","FC Wells, AS Coonar - 2018 - books.google.com",,Thoracic surgical techniques,This heavily revised second edition of this book provides a comprehensive overview of both common and rarely performed thoracic surgical techniques. Techniques covered include …,https://books.google.com/books?hl=en&lr=&id=nzpsDwAAQBAJ&oi=fnd&pg=PR9&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=26ctUxXH6y&sig=UjTJYq-4UzM06_zhRkbiu-sP8t8,Google Scholar,,,
,"Davis, E.",EP Davis,EP Davis - 1917 - books.google.com,,Obstetric and gynecologic nursing,"CHAPTER I DEFINITION OF PREGNANCY; THE GROWTH OF THE OVUM... The Fetus, 14-Physiology of Pregnancy, 16-The Placenta, 19-Anatomy of Pregnancy, 20-Medical Care …",https://books.google.com/books?hl=en&lr=&id=5Gw1AQAAMAAJ&oi=fnd&pg=PA11&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=BoV4lrFNpK&sig=tmeneXxMul1_ui98qWxcyjO0B80,Google Scholar,,,
,"Sekouba, B.",B Sekouba,B Sekouba - 1996 - 34.250.91.188,,Studies on the cellular and humoral immune responses of the tropical bont tick Amblyomma varibgatum and the brown ear tick rhipicephalus appendiculatus against …,"Amblyomma variegatum and Rhipicephalus appendiculatus are pests of domestic and to a certain extend wild animals. While feeding they transmit important diseases, among which …",http://34.250.91.188:8080/xmlui/handle/123456789/209,Google Scholar,,,
,"Winter, R.",R Winter,R Winter - 2009 - books.google.com,,A consumer's dictionary of cosmetic ingredients: complete information about the harmful and desirable ingredients found in cosmetics and cosmeceuticals,Everything you need to know about the safety and efficacy of cosmetics and cosmeceuticals. Is it a cosmetic? A drug? A nutrient? It’s becoming more and more difficult to tell the …,https://books.google.com/books?hl=en&lr=&id=3hLmyma2-MsC&oi=fnd&pg=PA1&dq=%0A++++++++++++++++++++++++(%22foreign+obj*%22+OR+%22foreign+bod*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22intent*%22+OR+%22deliberate*%22+OR+%22purpose*%22+OR+%22self-injur*%22+OR+%22selfharm*%22+OR+%22self-harm*%22)%0A++++++++++++++++++++++++AND%0A++++++++++++++++++++++++(%22ingest*%22+OR+%22swallow*%22)%0A++++++++++++++++++++++++&ots=DBEPY5I_uB&sig=1NYzOeJ-G6S2QLGUvjo2plSyhrw,Google Scholar,,,
