,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude,Reason ID
266,2017,"Vogel, H.",H Vogel,Monitoring Detention,"H Vogel - Monitoring Detention, Custody, Torture and Ill ..., 2017 - taylorfrancis.com",Google Scholar,,https://www.taylorfrancis.com/chapters/edit/10.1201/9781315211459-7/radiology-documentation-torture-ill-treatment-vogel,Radiology In The Documentation Of Torture And Ill-Treatment,"Radiology Has An Important And Specific Role To Play In The Documentation Of Physical Injuries That May Be Caused By Torture, Ill-Treatment, And Other Violence During Arrest And While In ...","Radiology has an important and specific role to play in the documentation of physical injuries that may be caused by torture, ill-treatment, and other violence during arrest and while in detention. Torture and ill-treatment are usually committed in a clandestine fashion and using increasingly sophisticated methods with a deliberate attempt to reduce any physical evidence of its practice. Mistreatment and torture of others are instruments to torment prisoners. This chapter highlights the uses and the limitations of diagnostic imaging. Physical ill-treatment may include any part or parts of the body, including hand and arm, foot and leg, torso, genitalia, and head and neck. Ill-treatment involving the head can produce a spectrum of injuries from contusions, to lacerations, to hemorrages, to skull fractures and, in some cases, may be fatal injuries. The differential diagnosis for torture and ill-treatment includes common trauma and other pathologies.",,
267,2017,"Volpi, A.","Volpi, A.; Laforgia, R.; Lozito, C.; Panebianco, A.; Punzo, C.; Ialongo, P.; Carbotta, G.; Sederino, M. G.; Minafra, M.; Paterno, A.; Palasciano, N.",Il Giornale Di Chirurgia,,PubMed,10.11138/gchir/2017.38.2.080,,Ingestion Of Foreign Bodies Among Prisoners: A Ten Years Retrospective Study At University Hospital Of Southern Italy,"Introduction: We Studied 21 Episodes Of Ingestion Of Foreign Bodies (Ifo) Among 15 Prisoners. Patients And Methods: Rectrospective Research In Pts Admitted To  Emergency From June 2005 To May 2105. Ingestion, Management And Pts Outcome Were  Analyzed. Prisoners With Previous Esophagogastroduodenal Disease Were Excluded.  Results: All Pts Were Males And Ingestions Were Intentional.  Esophagogastroduoduenoscopy (Egds) Was Performed In 10Pts (8 Cases With  Successful Removal, 1 Case We Did Not Find Anything E 1 Of Unsuccessful Egds,  That Required Emergency Surgey. 9 Pts Rejected Egds: In 2 Pts Were Not  Necessary.Among The 9 Pts That Rejected Egds, 5 Discharged Voluntary. No  Mortality Neither Morbidity. Only 1 Pt Required Surgery.The Ifo Were 34 (23  Sharp, 6 Flat,5 Indefined). We Did Not Observe Any Food Bolus Impaction. Multiple  Ingestion Was Found In 11 Pts. Recurrent Episodes Were Found In 4 Pts.  Discussion: Almost All Episodes Can Be Treated Conservatively With Observation  And Endoscopy But The Management Of This Pts Has A Financial Impact On Healthcare  Cost And On Security Costs. Prevention Strategies Are Important To Predict  Patient Group At High Risk For Recurrent Ifo.",,,
268,2017,"Yayama, S.","Yayama, So; Tanimoto, Chie; Suto, Shunji; Matoba, Kei; Kajiwara, Tomomi; Inoue, Masue; Endo, Yoshimi; Yamakawa, Miyae; Makimoto, Kiyoko",Psychogeriatrics,,PsycINFO,10.1111/psyg.12237,,Analysis Of Inedible Substance Ingestion At A Japanese Psychiatric Hospital,"Background: Inedible Substance Ingestion Increases The Risk Of Ileus, Poisoning, And Suffocation. Prevention Is Especially Important In A Psychiatric Setting. This Study Aimed To Analyze The Incidence Of Inedible Substance Ingestion In A Japanese Psychiatric Hospital. Methods: Inedible Substance Ingestion Incidents Were Extracted From An Incident Report Database Spanning 2000–2012 At A 400‐Bed Psychiatric Hospital In Japan. We Tabulated The Frequencies Of Incidents In Accordance With Major Diagnosis, Ingested Materials, Incident Levels, And Time Of Occurrence. Results: The Incidence Rate Was 0.09/1000 Patient Days, And 149 Cases In 105 Patients Were Classified As Having Experienced Inedible Substance Ingestion. The Most Common Diagnosis Was Dementia (N = 58), Followed By Schizophrenia (N = 22). Materials Ingested By Dementia Patients Were Nappies Or Gauze Attached To The Patient'S Body After Medical Procedures. Materials Ingested By Schizophrenic Patients Were Liquid Soap, Detergent Or Shampoo, And Cigarettes. Inedible Substance Ingestion Among Dementia Patients Occurred Mostly Before Or During Meals. Among Schizophrenic Patients, The Peak Period Of Incidents Was In The Evening. Conclusions: Dementia Patients Were Overrepresented In The Inedible Substance Ingestion Incidents. Items They Wore Or Applied To Their Bodies Were Often Subject To Ingestion, And Such Behaviours Mostly Occurred Around Meal Time. Therefore, The Nursing Staff Were Able To Discover Them Quickly And Treat Most Of The Cases Free Of Serious Consequences. In Contrast, Schizophrenic Patients Were Underrepresented In The Incidents, And Most Cases Involved Ingestion Of Detergent Powder Or Cigarettes, Resulting In More Serious Consequences And Requiring Treatment. (Psycinfo Database Record (C) 2022 Apa, All Rights Reserved)",,,
269,2017,"Kennedy..., G.","Gj Housler, S Cross, V Marcel, Do Kennedy...",J Spec Oper Med,"GJ Housler, S Cross, V Marcel, DO Kennedy... - J Spec Oper Med, 2017",Google Scholar,10.55460/BUPV-PAVD. ,https://jsomonline.org/product/a-prospective-randomized-controlled-two-arm-clinical-study-evaluating-the-efficacy-of-a-bioelectric-dressing-system-for-blister-management-in-us-army-ranger-recruits/,A Prospective Randomized Controlled Two-Arm Clinical Study Evaluating The Efficacy Of A Bioelectric Dressing System For Blister Management In Us Army ...,,"This study focused on a clinically relevant healthcare problem in the military: acute soft tissue wounds, or blisters. The trial was a prospective, controlled, randomized two-arm study evaluating the efficacy of a bioelectric dressing, Procellera, applied topically two to three times per week for 2 weeks to blisters developed in Ranger trainees during training at Fort Benning, Georgia. A total of 80 US Army Ranger recruits with blister wounds below the knee were randomly assigned to one of two treatment groups (n = 40/group). The primary goal was to assess the clinical efficacy (rate of healing) of administered Procellera in conjunction with the standard-of-care (SOC) treatment, moleskin and Tegaderm , on the healing rate of blisters compared with the SOC treatment alone. The secondary end points for efficacy were the quantities of wound fluid biomarkers and bacterial bioburden. The tertiary end point was assessment of pain in the treatment group compared with that of the control group during the 2-week study. The results showed no statistical difference between the SOC and SOC+Procellera groups in wound healing and pain. Wound fluid was reported for 24 participants (64.9%) in the SOC group and 21 participants (56.8%) in SOC+Procellera group at the baseline measurement (_ = .475); however, the wounds were devoid of fluid on follow-up visits. The mild nature of the wounds in this study was apparent by the low pain scores at the beginning of the study, which disappeared by the follow-up visits. The average wound sizes were 2.2cm2 and 1.5cm2 for the SOC and SOC+Procellera groups, respectively. This trial protocol should be conducted on open softtissue wounds in severe heat. To our knowledge, this is the first clinical study conducted within the US Army Rangers training doctrine. ",,
270,2017,"Takahashi, J.","Takahashi, Jin; Shiga, Takashi; Funakoshi, Hiraku",International Journal Of Emergency Medicine,,PubMed,10.1186/s12245-017-0153-8,,Oesophageal Coins Invisible On Chest Radiography: A Case Report,"Background: Coins Are Made Of Metal, Which Is Generally Radiopaque, And So Physicians Often Have The Misconception That All Coins Are Detectable By  Radiography. Here, We Report A Case Of Intentionally Swallowed Coins In The  Oesophagus Of An Adult; The Coins Could Not Be Detected On Chest Radiography But  Were Detected Using Computed Tomography (Ct). Case Presentation: A 46-Year-Old  Woman With A History Of Depression Presented To The Emergency Department After An  Intentional Medication Overdose And Ingestion Of Two Japanese 1-Yen Coins. She  Complained Of Persistent Retrosternal Discomfort. In Order To Confirm Whether The  Coins Were In The Oesophagus Or Trachea, An Anteroposterior Chest Radiograph Was  Obtained; However, No Coins Were Detected. Owing To Her Persistent Symptoms, A  Chest Ct Was Performed. On The Initial Ct Scan, Two 1-Yen Coins Were Observed In  The Oesophagus: One In The Middle Oesophagus And The Other In The Lower  Oesophagus. After The Scanning, The Patient Drank Water With Permission, But  Vomited. No Coins Were Found In Her Vomit, And The Symptoms Of Retrosternal  Discomfort Had Completely Disappeared. A Subsequent Ct Scan Revealed That The Two  1-Yen Coins Were In The Patient'S Stomach. Conclusions: Japanese 1-Yen Coins Are  Made Of 100% Aluminium, Which Is Less Radiopaque Than The Metals That Make Up  Coins (Nickel, Bronze, And Lead), And So, They Were Not Visible Via Chest  Radiography In Our Case. Detecting Very Small Or Thin Radiolucent Foreign Bodies  Is Not Possible Using A Chest Radiograph Or Contrast Oesophagram, But Is Possible  Via Ct. Ct Is Both Increasingly Convenient And Non-Invasive, Unlike Endoscopy Or  Bronchoscopy, And So, The Use Of Ct Scans Should Be Considered In Cases Of  Possible Radiolucent Foreign Body Ingestion.",,,
271,2017,"Kennedy, R.","Kennedy, Rachel S.; Starker, Rebecca A.; Feldman, Kelly A.; Tashiro, Jun; Perez, Eduardo A.; Mendoza, Fernando G.; Sola, Juan E.",Journal Of Pediatric Surgery,,PubMed,10.1016/j.jpedsurg.2016.08.015,,Cost Varies With Procedure Type In Pediatric Gi Foreign Bodies,"Background/Purpose: In Pediatric Cases Of Ingested Foreign Bodies, Gastrointestinal Foreign Bodies (Gifb) Have Distinct Factors Contributing To  Longer And More Costly Hospitalizations. Methods: Patients Admitted With Ingested  Foreign Bodies Were Identified In The Kids' Inpatient Database (1997-2009).  Results: Overall, 7480 Cases Were Identified. Patients Were Most Commonly <5Years  Of Age (44%), Male (54%), And Caucasian (57%). A Total Of 2506 Procedures Were  Performed, Gi Surgical Procedures (57%) Most Frequently, Followed By Gi Endoscopy  (24%), Esophagoscopy (11%), And Bronchoscopy - In Cases Of Inhaled Objects (9%).  On Multivariate Analysis, Length Of Stay Increased When Cases Were Associated  With Intestinal Obstruction (Or=1.7), Esophageal Perforation (Or=40.0),  Intestinal Perforation (Or=4.4), Exploratory Laparotomy (Or=1.9), And Gastric  (Or=2.9), Small Bowel (Or=1.5), Or Colon Surgery (Or=2.5), All P<0.02. Higher  Total Charges (Tc) Were Associated With Intestinal Obstruction (Or=2.0),  Endoscopy Of Esophagus (Or=1.8), Stomach (Or=2.1), Or Colon (Or=3.3), And  Exploratory Laparotomy (Or=3.6) Or Surgery Of Stomach (Or=5.6), Small Bowel  (Or=6.4), Or Colon (Or=3.4), All P<0.001. Conclusions: Surgical Or Endoscopic  Procedures Are Performed In Approximately One Third Of Gifb Cases. Associated  Psychiatric Disorder Or Self-Inflicted Injury Is Seen In More Than 20% Of Gifb  Patients. Resource Utilization Is Determined Heavily By Associated Diagnoses And  Treatment Procedures.",,,
272,2017,"Vats, M.","Vats, Manu; Ramasamy, Sadhasivam; Neogi, Sushanto; Tudu, Sanjeev Kumar",Bmj Case Reports,,PubMed,10.1136/bcr-2017-222338,,Ingestion Of Nine Metallic Nails With Corrosive: What Happened Next?,"A 20-Year-Old Woman Was Brought To The Surgery Emergency Department With The Complaint Of Epigastric Pain Since 1 Day Following Ingestion Of Multiple Metallic  Nails With A Cup Full Of Toilet Cleaner (Corrosive Acid) With A Suicidal  Intention. Physical Examination Was Essentially Unremarkable, And The Abdomen  Showed No Signs Of Perforation Peritonitis. X-Rays Of The Abdomen Showed Multiple  'Nail'-Like Radiopaque Shadows In The Abdominal Cavity With No Evidence Of Free  Gas Under The Domes Of The Diaphragm. A Non-Operative Expectant Management Was  Pursued. The Patient Had Passed All The Sharps In Stools Without Any Complication  And Was Discharged After 12 Days. After 3 Weeks, The Patient Presented With  Non-Bilious Vomiting. Further Investigations Revealed Pyloric Stenosis With No  Oesophageal Luminal Stenosis. To Bypass The Pyloric Stenosis, A Billroth Ii  Gastrojejunostomy Was Performed. The Postoperative Period Was Uneventful, And The  Recovery Was Smooth.",,,
273,2017,"Johnson, J.","Johnson, Jami; Williams, Kristie; Banner, William Jr","Clinical Toxicology (Philadelphia, Pa.)",,PubMed,10.1080/15563650.2017.1287912,,Adolescent With Prolonged Toxidrome,"A 13-Year-Old Female Was Presented To The Emergency Department Following An Intentional Ingestion. The Patient Developed Significant Toxicity Including  Multiple, Discreet Tonic-Clonic Seizures. Despite Appropriate Resuscitation And  Antidotal Management, The Patient'S Symptoms Persisted For More Than 36 Hours  Post-Ingestion. An Upright Abdominal Radiograph Was Performed Revealing A  Radiopacity Suggesting A Pharmacobezoar. An Esophagogastroduodenoscopy Was  Performed With Successful Removal Of A Tennis Ball-Sized Pharmacobezoar. The  Patient'S Symptoms Subsequently Subsided And She Recovered Fully With No  Neurologic Deficits. Diphenhydramine Has Not Been Previously Identified As A  Medication Likely To Form A Pharmacobezoar And Has Not Been Shown To Be  Radiopaque. Though Bezoar Formation Is A Rare Clinical Scenario, It Is One That  Toxicologists Must Consider In Patients With Clinical Courses That Persist Far  Beyond Expected Based On Known Toxicokinetic Principles.",,,
274,2017,"Höllwarth, M.",Me Höllwarth,Newborn Surgery,"ME Höllwarth - Newborn Surgery, 2017 - taylorfrancis.com",Google Scholar,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315113968-50/gastroesophageal-reflux-neonate-small-infant-michael-h%c3%b6llwarth,Gastroesophageal Reflux In The Neonate And Small Infant,"Gastroesophageal Reflux (Ger) Is A Term That Describes The Backflow Of Gastric Content Into The Esophagus, Sometimes Reaching Even The Mouth. It Is A Common Phenomenon And ...","Gastroesophageal reflux (GER) is a term that describes the backflow of gastric content into the esophagus, sometimes reaching even the mouth. It is a common phenomenon and occurs in otherwise normal individuals several times during the day and night, especially after ingestion of fluids, e.g., soup, tea, coffee, or milk. The esophagus is a muscular tubular organ responsible for the transport of food from the mouth to the stomach. The esophagus has a parasympathetic innervation through the vagus nerve, which runs along the esophagus. Sympathetic innervation arises from postganglionic neurons of the sympathetic chain. Once food enters the esophagus, it is transported by a propulsive peristaltic wave into the stomach. Pathological reflux in this age group may be characterized by different symptoms. The most typical reported signs are regurgitation and effortless leak-out of milk or food after meals, between meals, and when asleep.",,
275,2017,"Hu, J.","Hu, Jinlong; Sun, Siyu",Journal Of Clinical Ultrasound : Jcu,,PubMed,10.1002/jcu.22466,,Endoscopic Ultrasound-Guided Retrieval Of A Toothpick Embedded In The Stomach Wall,"Patients With The Complaint Of Ingested Foreign Body Commonly Present In The Emergency Department. Radiographic Imaging Is Always Done For The Purpose Of  Localization. However, Radiolucent Materials Like Wood Are Not Easily Picked Up  On Ct Scan. We Report The Case Of A 33-Year-Old Male Patient Who Presented With  The Complaint Of Progressive Abdominal Pain And History Of Ingestion Of A  Toothpick. It Was Removed By Endoscopic Ultrasound-Guided Localization-Assisted  Targeted Endoscopic Dissection. Endoscopic Ultrasound-Guided Localization Reduced  The Length And Depth Of The Required Incision And Helped To Minimize The Risk Of  Damage To The Surrounding Tissue. © 2017 Wiley Periodicals, Inc. J Clin  Ultrasound 45:603-604, 2017.",,,
276,2017,"Gurgel..., V.","Vs Mannarino, Dcs Pereira, Ws Gurgel...",Journal Of Forensic ...,"VS Mannarino, DCS Pereira, WS Gurgel... - Journal of forensic ..., 2017 - Wiley Online Library",Google Scholar,10.1111/1556-4029.13359,https://onlinelibrary.wiley.com/doi/abs/10.1111/1556-4029.13359,Self‐Embedding Behavior In Adults: A Report Of Two Cases And A Systematic Review,"Self‐Embedding Behavior (Seb) Is The Repeated Insertion Of Sharp Objects, Such As Needles Or Pins, Into The Soft Tissues Of Abdomen, Limbs, And Other Body Parts. In This Study, Two Cases ...","Self-embedding behavior (SEB) is the repeated insertion of sharp objects, such as needles or pins, into the soft tissues of abdomen, limbs, and other body parts. In this study, two cases of SEB were reported and the scientific worldwide literature reviewed. Thirty-two cases of SEB were identified through systematic searches in the main bibliographic databases. Mean age was 35 years (SD = 8.97). Just over two-thirds of the patients were female. Although the number of embedded objects could be as high as 200, major clinical and surgical complications were uncommon and mortality was null. Patients with SEB presented three major diagnoses: psychotic (25%), personality (21.9%), and factitious (28.1%) disorders. The practice of SEB largely went undetected as the patients themselves did not bring it to the attention of family members or physicians and usually denied they have engaged in SEB. A high level of suspicion is required to avoid a missed diagnosis.",,
277,2017,"Gardner, A.","Gardner, Andrew W.; Radwan, Rami W.; Allison, Miles C.; Codd, Rhodri J.",Bmj Case Reports,,PubMed,10.1136/bcr-2017-223182,,Double Duodenal Perforation Following Foreign Body Ingestion,Intentional Ingestion Of A Foreign Body In Adults Is A Rare Clinical Presentation. This Case Is One Of A 27-Year-Old Sudanese Man Who Presented Having  Swallowed A Ballpoint Pen Intentionally. Clinical Examination And Plain Chest  Radiograph Exhibited No Signs Indicative Of Perforation With Only A Raised C  Reactive Protein Identified On Blood Tests. Subsequent Gastroscopy Revealed That  The Pen Had Simultaneously Perforated The Duodenum At Both D1 And D3 Requiring  Removal Via A Laparotomy. The Patient Fully Recovered And Was Discharged 2 Weeks  Postoperatively Following Psychiatric Input.,,,
278,2017,"Francardo, S.",Sm Francardo,,SM Francardo - 2017 - books.google.com,Google Scholar,,https://books.google.lk/books?hl=en&lr=&id=pSaoDgAAQBAJ&oi=fnd&pg=PA7&dq=Anthroposophic+Medicine+For+All+The+Family:+Recognizing+And+Treating+The+Most+Common+Disorders+2017+francardo&ots=N7ARzryxYb&sig=X8-f-cT_B2ctNwmAr6-zOyovKB0&redir_esc=y#v=onepage&q=Anthroposophic%20Medicine%20For%20All%20The%20Family%3A%20Recognizing%20And%20Treating%20The%20Most%20Common%20Disorders%202017%20francardo&f=false,Anthroposophic Medicine For All The Family: Recognizing And Treating The Most Common Disorders,"This Invaluable Book Not Only Provides Practical Suggestions And Advice Regarding Common Medical Issues And Ailments, But Also Presents The Fundamental Principles Of ...",Abstract not available,,
279,2017,"Follent, A.","Follent, Anna M.; Rumbach, Anna F.; Ward, Elizabeth C.; Marshall, Jeanne; Dodrill, Pamela; Lewindon, Peter",International Journal Of Pediatric Otorhinolaryngology,,PubMed,10.1016/j.ijporl.2017.09.013,,Dysphagia And Feeding Difficulties Post-Pediatric Ingestion Injury: Perspectives Of The Primary Caregiver,"Purpose: To Explore The Experiences Of Children With Dysphagia And/Or Feeding Difficulties Post-Chemical Or Button Battery Ingestion Injury From The  Perspective Of The Primary Caregiver. Method: Five Primary Caregivers Of Children  With A History Of Dysphagia And/Or Feeding Difficulties Post-Ingestion Injury (4  Chemical, 1 Button Battery) Completed The Children'S Picky Eating Questionnaire  (Cpeq), And Participated In A Semi-Structured Interview. Interviews Explored  Experiences Of Caring For A Child With Dysphagia And/Or Feeding Difficulties,  Impressions Of Services And Supports, And Additional Impacts To The Child And  Family. Content Analysis Was Used To Identify Key Themes. Result: Primary  Caregiver Report And Cpeq Results Confirmed All Children Had Some Degree Of  Persisting Dysphagia And/Or Feeding Difficulties At Time Of Interview (Mean 4.13  Years' Post-Injury). Interviews Identified Five Key Themes: 1) The Initial Trauma  Of The Injury, 2) The Experience Of Associated And Ongoing Medical Issues, 3)  Managing Altered Oral Intake, 4) Experiences Of Services And Support, And 5)  Impacts On The Child, Primary Caregiver, And Wider Family Unit. All Caregivers  Reported Significant Challenges And Concerns, And Potential Areas Of Service  Improvement Were Highlighted. Conclusion: The Current Data Highlights Specific  Issues Experienced By Primary Caregivers, And Poses Areas For Improving Primary  Caregiver And Family Supports. Family-Centered Models Of Care Are Needed To  Support The Whole Family Unit In Caring For A Child With Dysphagia And/Or Feeding  Difficulties Post-Ingestion Injury.",,,
280,2017,"Agnihotry, A.","Agnihotry, A; Fedorowicz, Z; Nasser, M; Gill, Ks",Cochrane Database Of Systematic Reviews,,Cochrane,10.1002/14651858.cd006204.pub3,,Resorbable Versus Titanium Plates For Orthognathic Surgery,"Abstract - Background Recognition Of Some Of The Limitations Of Titanium Plates And Screws Used For The Fixation Of Bones Has Led To The Development Of Plates Manufactured From Bioresorbable Materials. Whilst Resorbable Plates Appear To Offer Clinical Advantages Over Metal Plates In Orthognathic Surgery, Concerns Remain About The Stability Of Fixation And The Length Of Time Required For Their Degradation And The Possibility Of Foreign Body Reactions. This Review Compares The Use Of Titanium Versus Bioresorbable Plates In Orthognathic Surgery And Is An Update Of The Cochrane Review First Published In 2007. Objectives To Compare The Effects Of Bioresorbable Fixation Systems With Titanium Systems Used During Orthognathic Surgery. Search Methods Cochrane Oral Health'S Information Specialist Searched The Following Databases: Cochrane Oral Health'S Trials Register (To 20 January 2017); The Cochrane Central Register Of Controlled Trials (Central; 2016, Issue 11) In The Cochrane Library (Searched 20 January 2017); Medline Ovid (1946 To 20 January 2017); And Embase Ovid (1980 To 20 January 2017). We Searched The Us National Institutes Of Health Ongoing Trials Register Clinicaltrials.Gov ( Clinicaltrials.Gov ; Searched 20 January 2017), And The  World Health Organization International Clinical Trials Registry Platform  (Searched 20 January 2017) For Ongoing Trials. No Restrictions Were Placed On The Language Or Date Of Publication When Searching The Electronic Databases. Selection Criteria Randomised Controlled Trials Comparing Bioresorbable Versus Titanium Fixation Systems Used For Orthognathic Surgery In Adults. Data Collection And Analysis Two Review Authors Independently Screened The Results Of The Electronic Searches, Extracted Data And Assessed The Risk Of Bias Of The Included Studies. We Resolved Disagreement By Discussion. Clinical Heterogeneity Between The Included Trials Precluded Pooling Of Data, And Only A Descriptive Summary Is Presented. Main Results This Review Included Two Trials, Involving 103 Participants, One Comparing Titanium With Resorbable Plates And Screws And The Other Titanium With Resorbable Screws. Both Studies Were At High Risk Of Bias And Provided Very Limited Data For The Primary Outcomes Of This Review. All Participants In One Trial Suffered Mild To Moderate Postoperative Discomfort With No Statistically Significant Difference Between The Two Plating Groups At Different Follow‐Up Times. Mean Scores Of Patient Satisfaction Were 7.43 To 8.63 (Range 0 To 10) With No Statistically Significant Difference Between The Two Groups Throughout Follow‐Up. Adverse Effects Reported In One Study Were Two Plate Exposures In Each Group Occurring Between The Third And Ninth Months. Plate Exposures Occurred Mainly In The Posterior Maxillary Region, Except For One Titanium Plate Exposure In The Mandibular Premolar Region. Known Causes Of Infection Were Associated With Loosened Screws And Wound Dehiscence With No Statistically Significant Difference In The Infection Rate Between Titanium (3/196), And Resorbable (3/165) Plates. Authors' Conclusions We Do Not Have Sufficient Evidence To Determine If Titanium Plates Or Resorbable Plates Are Superior For Fixation Of Bones After Orthognathic Surgery. This Review Provides Insufficient Evidence To Show Any Difference In Postoperative Pain And Discomfort, Level Of Patient Satisfaction, Plate Exposure Or Infection For Plate And Screw Fixation Using Either Titanium Or Resorbable Materials. Plain Language Summary Resorbable Versus Titanium Plates For Corrective Jaw Surgery Review Question Are Resorbable (Biodegradable) Plates Better Than Titanium (Metal) Plates For The Fixation Of Facial Bones After Corrective (Orthognathic) Jaw Surgery? Background Under‐ Or Overgrowth Of One Or Both Of The Jaw Bones Can Lead To Reduced Function And An Unattractive Facial Appearance, Either Of Which May Have Lasting And Significant Psychosocial Effects. Treatment Of Severe Cases May Require A Combination Of Orthodontic Appliances And Orthognathic (Corrective Jaw) Surgery. After Surgery The Cut Bone Needs To Be Immobilised To Ensure That Optimal Healing Takes Place. Titanium Plates Used For Fixation Are Recognised To Be The 'Gold Standard' But Recent Developments In Biomaterials Have Led To An Increased Use Of Bioresorbable Plates Or Screws For Corrective Jaw Surgery. The Use Of Bioresorbable Plates For The Fixation Of Facial Bones Might Appear To Reduce The Need For A Further Operation For The Removal Of Metal Plates. However, Whilst Resorbable Plates Do Appear To Offer Certain Advantages Over Metal Plates, Concerns Remain About The Stability Of Fixation, The Length Of Time Required For Their Resorption (Being Reabsorbed), The Possibility Of Foreign Body Reactions, And With Some Of The Technical Difficulties Experienced With Resorbable Plates. Study Characteristics We Included Two Studies That Analysed A Total Of 103 Participants. The Evidence In This Review Is Up To Date As Of 20 January 2017. Study Participants Were Adults Older Than 16 Years Of Age. One Study Compared Titanium With Resorbable Plates And Screws And The Other Titanium With Resorbable Screws. One Study Was Conducted In China, The Other In Germany. Key Results Both Studies Were At High Risk Of Bias And Provided Very Limited Data. We Do Not Have Sufficient Evidence To Determine If Titanium Plates Or Resorbable Plates Are Superior For The Fixation Of Bones After Corrective Jaw Surgery. This Review Provides Insufficient Evidence To Show Any Difference In Postoperative Pain And Discomfort, Level Of Patient Satisfaction, Plate Exposure Or Infection For Plate And Screw Fixation Using Either Titanium Or Resorbable Materials. Quality Of The Evidence Both Included Studies Were Assessed As Being At High Risk Of Bias And The Very Limited And Weak Evidence Was Of Very Low Quality.",,,
281,2017,"Eliason, M.","Eliason, Michael J.; Ricca, Robert L.; Gallagher, Thomas Q.",Current Opinion In Otolaryngology & Head And Neck Surgery,,PubMed,10.1097/moo.0000000000000410,,Button Battery Ingestion In Children,"Purpose Of Review: As The Demand For Small Electronics Continues To Grow So Does The Risk Of Oesophageal Ingestion Of Button Batteries. These Small But Powerful  Sources Of Energy Are Ubiquitous In Every Household And When Swallowed,  Especially In Small Children, Have Been Shown To Create Significant Injury In A  Short Amount Of Time Leading To Long-Term Morbidity And Possible Death. This  Review Highlights The Latest Findings Regarding Epidemiology, Pathophysiology,  Diagnosis And Management Of Ingested Button Batteries. Recent Findings: Updated  Epidemiology From The National Capital Poison Center, New Bench Research Looking  At Injury Patterns And Possible Mitigation Strategies, Updated Ideas On  Management Algorithms Including The Use Of A Trauma Protocol, Close-Look Second  Endoscopy And Management Of Button Batteries In The Lower Gastrointestinal Tract  Are Reviewed In This Paper. Summary: Despite Advances In The Understanding Of  Injury Mechanics And Innovations Leading To Early Diagnosis And Improved  Management Of Button Battery Ingestion, Parental And Provider Education Remain  The Most Important Tools To Keep Children Well Tolerated From The Sequelae Of  These Potentially Fatal Events. Collaboration Between Healthcare Experts, Public  Health And Industry Is Essential To Find A Safe Answer To This Ongoing Threat.",,,
282,2017,"Chang, W.","Chang, Wen-Jung; Chiu, Wen-Yi",Clinical Case Reports,,PubMed,10.1002/ccr3.957,,Gastric Foreign Body: A Comb,"The Ingestion Of A Foreign Body Is A Common Occurrence. Psychiatric Patients And Prisoners May Swallow Objects On Purpose. Occasionally Emergent Exploratory  Laparotomy May Be Indicated If The Diagnosis Is Uncertain, And Emergent Removal  Of The Foreign Body May Be Needed To Prevent Substantial Risk Of Serious  Complications Including Perforation, Fistula, Or Gastrointestinal Bleeding.",,,
283,2017,"Chahine, E.","Chahine, Elias; El Khoury, Lionel; Baghdady, Ramez; Chouillard, Elie",Bmj Case Reports,,PubMed,10.1136/bcr-2017-221928,,Recurrent Gastric Metal Bezoar: A Rare Cause Of Gastric Outlet Obstruction,"A 52-Year-Old Male Patient With Psychiatric Medical History Who Presented To The Emergency Department Five Times During A Period Of 5 Years Due To Gastric Outlet  Obstruction Manifested Mainly By Abdominal Pain, Vomiting And Haematemesis After  Intentionally Ingesting Metals And Which Necessitate Several Surgical  Interventions. Lately, He Presented With Generalised Peritonitis Due To Gastric  Perforation From Metal Bezoars. Chronic Abdominal Symptoms In Patient Having A  Psychiatric Disorder Can Be Due To Foreign Body Ingestion. Treatment Is Often  Surgical And The Whole Digestive Tract Should Be Explored To Avoid Retained  Bezoars.",,,
