Publication Year,First Author,Authors,Summary,Publication Title,Title,Abstract,URL,Database,Exclude,Reason ID,Reason
2000,"Quesenberry, A.","A Adamcak, LR Hess, KE Quesenberry","A Adamcak, LR Hess, KE Quesenberry - Journal of Avian Medicine and …, 2000 - BioOne",Journal of Avian Medicine and …,Intestinal string foreign body in an adult umbrella cockatoo (Cacatua alba),"Gastrointestinal foreign bodies are reported in zoo birds, ratites, and juvenile psittacine birds; however, foreign body ingestion by adult psittacine birds is uncommon. We examined an …",https://bioone.org/journals/journal-of-avian-medicine-and-surgery/volume-14/issue-4/1082-6742_2000_014_0257_ISFBIA_2.0.CO_2/Intestinal-String-Foreign-Body-in-an-Adult-Umbrella-Cockatoo-Cacatua/10.1647/1082-6742(2000)014[0257:ISFBIA]2.0.CO;2.short,Google Scholar,,,
2000,"Marsh, H.","HD Becker, BR Marsh","HD Becker, BR Marsh - Interventional bronchoscopy, 2000 - karger.com",Interventional bronchoscopy,History of the rigid bronchoscope,"At the end of the 19th century, three crucial inventions led to the development of the rigid bronchoscope:(1) the detection of local anesthesia,(2) the invention of electricity as a light …",https://karger.com/Article/PDF/62109,Google Scholar,,,
2001,"Hauser, A.","A Arana, B Hauser","A Arana, B Hauser - Management of ingested foreign bod ies in childhood …, 2001",Management of ingested foreign bod ies in childhood …,"Hachimi Idrissi, Vanden plas Y",,,Google Scholar,,,
2001,"Ch…, J.","J Kountouras, D Chatzopoulos, Z Ch…","J Kountouras, D Chatzopoulos, Z Ch… - Annals of …, 2001 - 172.104.143.169",Annals of …,"Perforation of midpart of ileum caused by entrapment of a large, wide foreign body","We report the case of a 54-year old male patient with a long history of irritable bowel syndrome who unknowingly swallowed a foreign body (wire) while having roast, lamb as a meal. …",http://172.104.143.169/index.php/annalsgastro/article/download/101/88,Google Scholar,,,
2001,"Apter…, R.","R Zissin, M Shapiro-Feinberg, J Rozenman, S Apter…","R Zissin, M Shapiro-Feinberg, J Rozenman, S Apter… - European …, 2001 - Springer",European …,CT findings of the chest in adults with aspirated foreign bodies,The aim of this study was to assess the imaging findings in adult patients with tracheobronchial foreign body aspiration. Nineteen patients (11 men and 8 women; age range 26–89 years…,https://link.springer.com/article/10.1007/s003300000619,Google Scholar,,,
2001,"Im…, T.","TJ Kim, JM Goo, MH Moon, JG Im…","TJ Kim, JM Goo, MH Moon, JG Im… - Korean journal of …, 2001 - synapse.koreamed.org",Korean journal of …,Foreign bodies in the chest: how come they are seen in adults?,"The radiologic and clinical findings of foreign bodies in the chest of children are well recognized. Foreign bodies in adults are infrequent, however, and the radiologic findings of these …",https://synapse.koreamed.org/articles/1027511,Google Scholar,,,
2001,"McMurray, M.","MA Freiman, JS McMurray","MA Freiman, JS McMurray - Annals of Otology, Rhinology & …, 2001 - journals.sagepub.com",Annals of Otology,Unique presentation of a bronchial foreign body in an asymptomatic child,A child who aspirates a foreign body may present in many ways. We present the case of an 8-year-old boy whose initial presentation consisted only of his preoccupation with his lost toy …,https://journals.sagepub.com/doi/abs/10.1177/000348940111000601,Google Scholar,,,
2002,"Kay, G.","G Wahbeh, R Wyllie, M Kay","G Wahbeh, R Wyllie, M Kay - Clinical Pediatrics, 2002 - journals.sagepub.com",Clinical Pediatrics,"Foreign body ingestion in infants and children: location, location, location","Fooreign body ingestion ac-counts for a significant number of emergency room visits in children. In the ma-jority of cases that come to med-ical attention, the ingestion was witnessed or …",https://journals.sagepub.com/doi/abs/10.1177/000992280204100901,Google Scholar,,,
2002,"Schurr, S.","ST Weiland, MJ Schurr","ST Weiland, MJ Schurr - Journal of Gastrointestinal Surgery, 2002 - Springer",Journal of Gastrointestinal Surgery,Conservative management of ingested foreign bodies,"We reviewed the clinical benefits of hospitalization, esophagogastroduodenoscopy, and surgical intervention for ingested foreign bodies in adults. Patients with esophageal foreign …",https://link.springer.com/article/10.1016/S1091-255X(01)00027-0,Google Scholar,,,
2003,"Flückiger, U.","U Braun, B Gansohr, M Flückiger","U Braun, B Gansohr, M Flückiger - American journal of …, 2003 - Am Vet Med Assoc",American journal of …,Radiographic findings before and after oral administration of a magnet in cows with traumatic reticuloperitonitis,Objective —To evaluate by use of radiography the efficacy of oral administration of magnets in the treatment of traumatic reticuloperitonitis in cows. Animals —90 cows referred because …,https://avmajournals.avma.org/view/journals/ajvr/64/1/ajvr.64.1.115.xml,Google Scholar,,,
2003,"Bradley, S.","SY Ng, AK Songra, PF Bradley","SY Ng, AK Songra, PF Bradley - … journal of oral and maxillofacial surgery, 2003 - ijoms.com",… journal of oral and maxillofacial surgery,A new approach using intraoperative ultrasound imaging for the localization and removal of multiple foreign bodies in the neck,Abstract. An innovative method of using ultrasound imaging intraoperatively is reported. Multiple radiopaque and radiolucent foreign bodies within soft tissues were localized in theatre …,https://www.ijoms.com/article/S0901-5027(02)90376-0/abstract,Google Scholar,,,
2003,"Vallarta-Ast, N.","N Binkley, D Krueger, N Vallarta-Ast","N Binkley, D Krueger, N Vallarta-Ast - Journal of clinical densitometry, 2003 - Elsevier",Journal of clinical densitometry,An overlying fat panniculus affects femur bone mass measurement,"Dual-energy X-ray absorptiometry (DXA) is currently the gold standard technique for osteoporosis diagnosis. However, DXA has limitations, including artifacts, such as degenerative …",https://www.sciencedirect.com/science/article/pii/S1094695006602680,Google Scholar,,,
2003,"Hoffmann, K.",KL Hoffmann,"KL Hoffmann - Veterinary Radiology & Ultrasound, 2003 - Wiley Online Library",Veterinary Radiology & Ultrasound,Sonographic signs of gastroduodenal linear foreign body in 3 dogs,This article describes the sonographic signs identified in three dogs with confirmed gastroduodenal linear foreign bodies. The sonographic signs included the following; an abnormal …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1740-8261.2003.tb00486.x,Google Scholar,,,
2004,"Kaiser…, J.","JP Lake, R Essani, P Petrone, AM Kaiser…","JP Lake, R Essani, P Petrone, AM Kaiser… - Diseases of the Colon …, 2004 - journals.lww.com",Diseases of the Colon …,Management of retained colorectal foreign bodies: predictors of operative intervention,PURPOSE: This study was designed to review experience at our hospital with retained colorectal foreign bodies. METHODS: We reviewed the consultation records at Los Angeles …,https://journals.lww.com/dcrjournal/abstract/2004/47100/management_of_retained_colorectal_foreign_bodies_.19.aspx,Google Scholar,,,
2004,"Gibson…, K.","KL Staudte, BJ Hopper, NR Gibson…","KL Staudte, BJ Hopper, NR Gibson… - Journal of Small Animal …, 2004 - Wiley Online Library",Journal of Small Animal …,Use of ultrasonography to facilitate surgical removal of non‐enteric foreign bodies in 17 dogs,"Plant material foreign bodies may cause vague clinical signs at the time of initial presentation but can progress to cause persistent or recurrent abscessation, sinus tract formation and …",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-5827.2004.tb00254.x,Google Scholar,,,
2004,"Dülger, H.","HF Yazicioglu, L Yasar, Ö Dülger","HF Yazicioglu, L Yasar, Ö Dülger - International Journal of …, 2004 - researchgate.net",International Journal of …,Hysteroscopic removal of a foreign body from the subvesical space,"Though perforation of the uterus andyor cervix is a well known complication of intrauterine manipulations, entrapment of foreign bodies in the retroperitoneal space is rare w1x. Herewith …",https://www.researchgate.net/profile/Oezlem-Duelger/publication/8499828_Hysteroscopic_removal_of_a_foreign_body_from_the_subvesical_space/links/63b705d4c3c99660ebcf7c15/Hysteroscopic-removal-of-a-foreign-body-from-the-subvesical-space.pdf,Google Scholar,,,
2004,"López-Quiñones…, M.","M Romero, X Bargalló, MT López-Quiñones…","M Romero, X Bargalló, MT López-Quiñones… - Journal of ultrasound …, 2004 - academia.edu",Journal of ultrasound …,Sonography of a mercury foreign body in the hand,"Discussion Penetrating injuries and suspected retained foreign bodies are common reasons for emergency department visits. The most common retained foreign bodies are wood, glass…",https://www.academia.edu/download/93340320/jum.2004.23.5.71120221030-1-18c1tif.pdf,Google Scholar,,,
2005,"Anderson, J.","J Lee, R Anderson","J Lee, R Anderson - Emergency Medicine Journal, 2005 - emj.bmj.com",Emergency Medicine Journal,Effervescent agents for oesophageal food bolus impaction,"A short cut review was carried out to establish whether fizzy drinks alone are effective at resolving food bolus impaction. Altogether 46 papers were found using the reported search, of …",https://emj.bmj.com/content/22/2/123.short,Google Scholar,,,
2005,"Tandon, A.","A Darbari, G Chandra, S Pandey, S Tandon","A Darbari, G Chandra, S Pandey, S Tandon - Indian J Surg, 2005 - researchgate.net",Indian J Surg,Images in Surgery Images in Surgery,"Intrathoracic Foreign bodies specially inside heart or mediastinum are rare. Generally they occur during war, penetrating trauma, misplaced central venous cathat er [1] and intrathoracic …",https://www.researchgate.net/profile/Sujeet-Pandey/publication/27796327_Images_in_Surgery_-_Intrathoracic_foreign_body_Straight_sewing_needle_in_pericardial_cavity/links/5c3b746fa6fdccd6b5a9f2b1/Images-in-Surgery-Intrathoracic-foreign-body-Straight-sewing-needle-in-pericardial-cavity.pdf,Google Scholar,,,
2005,"Morra…, D.","D Gregori, S Snidero, A Stancu, B Morra…","D Gregori, S Snidero, A Stancu, B Morra… - Pediatric …, 2005 - nature.com",Pediatric …,154 Foreign Bodies Causing and Prolonging Hospitalization in Children 0–14 Age: Results from the ESFBI Study,"THE INJURY DUE TO THE INGESTION, ASPIRATION OR INHALATION OF FOREIGN BODIES (FB) REMAINS A COMMON PAEDIATRIC PROBLEM WITH SERIOUS AND SOMETIMES …",https://www.nature.com/articles/pr2005406,Google Scholar,,,
2005,"Hardcastle, R.","R Williams, N Hardcastle","R Williams, N Hardcastle - Emergency Medicine Journal, 2005 - emj.bmj.com",Emergency Medicine Journal,Humeral fractures and non-accidental injury in children,A short cut review was carried out to establish whether proximal humeral fractures in children are indicative of non-accidental injury. Altogether 44 papers were found using the reported …,https://emj.bmj.com/content/22/2/124.short,Google Scholar,,,
2005,"Andersen…, T.","T Cramers, KB Mikkelsen, P Andersen…","T Cramers, KB Mikkelsen, P Andersen… - The Veterinary …, 2005 - kruuse.com",The Veterinary …,Newtypes of foreign,"TRAUMATIC indigestion is a complex of diseases that occur when sharp or pointed foreign bodies accumulate in the reticulum of cattle and injure the reticular wall, sometimes piercing …",https://www.kruuse.com/Files/Files/Products/INT/Magnet%20article.pdf,Google Scholar,,,
2005,"Harrison, S.","S Carley, M Harrison","S Carley, M Harrison - Emergency Medicine Journal, 2005 - emj.bmj.com",Emergency Medicine Journal,Timing of lumbar puncture in suspected subarachnoid haemorrhage,A short cut review was carried out to establish how long after onset of headache a lumbar puncture should be carried out to rule out subarachnoid haemorrhage. Altogether 142 papers …,https://emj.bmj.com/content/22/2/121.2.short,Google Scholar,,,
2005,"Märgner, C.","C Warmann, V Märgner","C Warmann, V Märgner - Mva, 2005 - mva-org.jp",Mva,Quality Control of Hazel Nuts Using Thermographic Image Processing.,"This paper describes some new approaches to the quality inspection of hazels, analyzing thermographic images. On the one hand we present a quality inspection system checking …",https://www.mva-org.jp/Proceedings/CommemorativeDVD/2005/papers/2005084.pdf,Google Scholar,,,
2005,"McHugh, M.",ML McHugh,"ML McHugh - Journal for Specialists in Pediatric Nursing, 2005 - search.proquest.com",Journal for Specialists in Pediatric Nursing,Calculation and utility of a one-way chi-square in nursing practice,"This is an extremely useful statistical tool when you have hospital or practice data that are nominal in nature (frequency counts), and you want to compare your experience to some …",https://search.proquest.com/openview/e101675b342d6c01474e910f4d8c7ba7/1?pq-origsite=gscholar&cbl=25318,Google Scholar,,,
2005,"Pandey…, A.","A Darbari, G Chandra, S Pandey…","A Darbari, G Chandra, S Pandey… - Indian Journal of …, 2005 - bioline.org.br",Indian Journal of …,Images in Surgery-Intrathoracic foreign body: Straight sewing needle in pericardial cavity,"Intrathoracic Foreign bodies specially inside heart or mediastinum are rare. Generally they occur during war, penetrating trauma, misplaced central venous cathat er [1] and intrathoracic …",http://www.bioline.org.br/pdf?is05086,Google Scholar,,,
2005,"Seet, E.","ECH Lim, TH Ng, RCS Seet","ECH Lim, TH Ng, RCS Seet - CMAJ, 2005 - Can Med Assoc",CMAJ,A woman whose radiographs showed subcutaneous metallic objects,A 67-year-old Indian Muslim woman was admitted with mild occipital headaches preceded by neck pain. She had been experiencing the headaches and neck pain weekly for several …,https://www.cmaj.ca/content/173/2/150.short,Google Scholar,,,
2005,"Hardcastle, R.","R Williams, N Hardcastle","R Williams, N Hardcastle - Emergency Medicine Journal: EMJ, 2005 - europepmc.org",Emergency Medicine Journal: EMJ,Best evidence topic report. Humeral fractures and non-accidental injury in children.,A short cut review was carried out to establish whether proximal humeral fractures in children are indicative of nonaccidental injury. Altogether 44 papers were found using the reported …,https://europepmc.org/article/med/15662068,Google Scholar,,,
2005,"Nagy…, H.","H Simhofer, C Uray, A Nagy…","H Simhofer, C Uray, A Nagy… - WIENER TIERARZTLICHE …, 2005 - center.ssi.at",WIENER TIERARZTLICHE …,Penetrating foreign bodies of the alimentary tract in horses: 4 cases,"4 horses with penetrating, metallic foreign bodies were presented to the Equine Department of the University of Veterinary Medicine, Vienna. In 3 horses the foreign bodies were located …",https://center.ssi.at/smart_users/uni/user94/explorer/143/WTM/Archiv/2005/WTM_9-2005/WTM_09-2005_Artikel_3.pdf,Google Scholar,,,
2005,"Anderson, J.","J Lee, R Anderson","J Lee, R Anderson - Emergency Medicine Journal, 2005 - emj.bmj.com",Emergency Medicine Journal,Proteolytic enzymes for oesophageal meat impaction,A short cut review was carried out to establish whether proteolytic enzymes are effective at resolving oesophageal meat impaction. Altogether 98 papers were found using the reported …,https://emj.bmj.com/content/22/2/122.short,Google Scholar,,,
2005,"Crawford, S.","S Teece, I Crawford","S Teece, I Crawford - Emergency Medicine Journal, 2005 - emj.bmj.com",Emergency Medicine Journal,Torn frenulum and non-accidental injury in children,"A short cut review was carried out to establish whether a torn frenulum in a child is indicative of non-accidental injury. Altogether 104 papers were found using the reported search, of …",https://emj.bmj.com/content/22/2/125.short,Google Scholar,,,
2005,"Kantarceken…, E.","E Bulbuloglu, M Yuksel, B Kantarceken…","E Bulbuloglu, M Yuksel, B Kantarceken… - … of Laparoendoscopic & …, 2005 - liebertpub.com",… of Laparoendoscopic & …,Laparoscopic removal of a swallowed sewing needle that migrated into the greater omentum without clinical evidence,"We report a case of a sewing needle, presumably originating from the transverse colon or the ligament of Treitz, that migrated to the greater omentum. A 24-year-old woman was …",https://www.liebertpub.com/doi/abs/10.1089/lap.2005.15.66,Google Scholar,,,
2006,"Pearson, S.",S Pearson,"S Pearson - Textbook of Paediatric Emergency Medicine, 2006 - books.google.com",Textbook of Paediatric Emergency Medicine,7.6 Ingested foreign bodies,1 Foreign bodies in the stomach or intestines are expected to pass spontaneously about 99% of the time if the child has normal anatomy. 2 Most complications occur when a foreign …,https://books.google.com/books?hl=en&lr=&id=uw9aDwAAQBAJ&oi=fnd&pg=PA202&dq=(%22foreign+obj*%22+OR+%22foreign+bod*%22)&ots=4sUdy9zfk1&sig=g1sjOeD_XaSdcMXBcxp1AcaJ7VY,Google Scholar,,,
2006,"Naqvi…, J.","JM Memon, NA Memon, KA Jilani, SQH Naqvi…","JM Memon, NA Memon, KA Jilani, SQH Naqvi… - Gomal Journal of …, 2006 - gjms.com.pk",Gomal Journal of …,An unusual foreign body in the urinary bladder,Foreign body in urinary bladder being unusual in clinical setting presents as a diagnostic dilemma with vague history. Bladder calculi are uncommon in adults and usually result either …,http://gjms.com.pk/index.php/journal/article/view/83,Google Scholar,,,
2006,"Sobeih…, K.","K Al-Sebeih, M Valvoda, A Sobeih…","K Al-Sebeih, M Valvoda, A Sobeih… - Ear, nose & throat …, 2006 - journals.sagepub.com",Ear,Perforating and migrating pharyngoesophageal foreign bodies: a series of 5 patients,"Ingestion of a foreign body is a problem seen in nearly all otolaryngologic practices. One of the least common complications of foreign-body ingestion is penetration and migration, …",https://journals.sagepub.com/doi/abs/10.1177/014556130608500913,Google Scholar,,,
2007,"Walshaw, A.","A Nicastro, R Walshaw","A Nicastro, R Walshaw - Journal of the American Animal …, 2007 - search.ebscohost.com",Journal of the American Animal …,Chronic vaginitis associated with vaginal foreign bodies in a cat.,"A 2-year-old, spayed female, domestic shorthaired cat was presented for evaluation of a chronic, purulent vulvar discharge. Survey radiographs of the abdomen and pelvis revealed …",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=05872871&asa=Y&AN=55455899&h=evuAbH6as7npYvohFg5Gkvs%2BdVb%2BTuEn%2BjlC7xKhfI4w%2FXnOSCMEO2AKmd4s%2BdONAYvfA0UY8URTYgAkq8wAzA%3D%3D&crl=c,Google Scholar,,,
2007,"Safai…, N.","N Saki, S Nikakhlagh, F Safai…","N Saki, S Nikakhlagh, F Safai… - Pakistan Journal of …, 2007 - emro.who.int",Pakistan Journal of …,Esophageal foreign bodies in children,"Objective: Foreign bodies occasionally become lodged in the esophagus because of the object’s size or shape, narrowing of the esophagus lumen, or anatomic abnormalities. The …",http://www.emro.who.int/imemrf/Pak_J_Med_Sci/Pak_J_Med_Sci_2007_23_6_854_856.pdf,Google Scholar,,,
2007,"Akbulut…, D.","DA Sahin, R Kusaslan, O Sahin, G Akbulut…","DA Sahin, R Kusaslan, O Sahin, G Akbulut… - International …, 2007 - researchgate.net",International …,"Comparison of Ligasure, SurgRx, and suture techniques in intra-abdominal adhesions that occur after liver resection in rats: an experimental study","Mechanical trauma, thermal injury, tissue ischemia during the operation, postoperative infections, and foreign body reactions are important factors for adhesion formation. Bleeding and …",https://www.researchgate.net/profile/Osman-Dilek/publication/51375475_Comparison_of_Ligasure_SurgRx_and_suture_techniques_in_intra-abdominal_adhesions_that_occur_after_liver_resection_in_rats_An_experimental_study/links/53f730be0cf2fceacc7504a3/Comparison-of-Ligasure-SurgRx-and-suture-techniques-in-intra-abdominal-adhesions-that-occur-after-liver-resection-in-rats-An-experimental-study.pdf,Google Scholar,,,
2007,"Jain…, S.","S Nijhawan, V Singh, P Mallikaarjun, P Jain…","S Nijhawan, V Singh, P Mallikaarjun, P Jain… - …, 2007 - thieme-connect.com",…,Endoscopic removal of sharp metallic foreign bodies,Metallic foreign bodies have been removed under fluoroscopic control but this can be hazardous [1][2]. We describe here an endoscopic method for removal of sharp metallic foreign …,https://www.thieme-connect.com/products/ejournals/html/10.1055/s-2006-945120,Google Scholar,,,
2007,"Koksal, M.","M Gencer, E Ceylan, N Koksal","M Gencer, E Ceylan, N Koksal - Respiration, 2007 - karger.com",Respiration,Extraction of pins from the airway with flexible bronchoscopy,Background: Tracheobronchial foreign body aspiration is a worldwide health problem which often results in life threatening complications. Standard flexible bronchoscopy (FB) is used …,https://karger.com/res/article-abstract/74/6/674/289049,Google Scholar,,,
2007,"Silverberg…, S.","S Feigelson, D Maun, D Silverberg…","S Feigelson, D Maun, D Silverberg… - The American …, 2007 - journals.sagepub.com",The American …,Removal of a large spherical foreign object from the rectum using an obstetric vacuum device: a case report,"Reports of retained rectal foreign bodies are increasingly common worldwide. It is likely that any surgeon practicing at a major medical center will encounter this type of case, and thus, …",https://journals.sagepub.com/doi/abs/10.1177/000313480707300326,Google Scholar,,,
2007,"VISION, A.",ACIN VISION,"ACIN VISION - Emergency Ultrasound, 2007 - McGraw-Hill Prof Med/Tech",Emergency Ultrasound,ANATOMIC CONSIDERATIONS 452► GETTING STARTED 453 TECHNIQUE AND NORMAL ULTRASOUND FINDINGS 454 COMMON AND …,,,Google Scholar,,,
2007,"Charles, S.","S Berkowitz, H Marshall, A Charles","S Berkowitz, H Marshall, A Charles - The American Surgeon, 2007 - journals.sagepub.com",The American Surgeon,Article Commentary: Retained Intra-abdominal Surgical Instruments: Time to Use Nascent Technology?,"Retention of surgical instruments is a possible complication of surgery; moreover, its occurrence has typically been used to denote poor surgical care on the part of the individual …",https://journals.sagepub.com/doi/abs/10.1177/000313480707301101,Google Scholar,,,
2008,"Ahmad…, F.","F Mohammad, A Mehdi, DB Ahmad…","F Mohammad, A Mehdi, DB Ahmad… - PAKISTAN JOURNAL OF …, 2008 - pjms.com.pk",PAKISTAN JOURNAL OF …,Plain Radiography for Identification of Limb Foreign Bodies: How Successful is it?,"Objective: To assess the degree of success of two diagonally positioned X-ray radiographies, with careful history taking, in identifying foreign bodies in limbs. Methodology: A total of …",https://pjms.com.pk/issues/octdec108/pdf/limb.pdf,Google Scholar,,,
2008,"Canbay, B.","B Candemir, K Polat, A Canbay","B Candemir, K Polat, A Canbay - Turk Kardiyoloji Dernegi …, 2008 - jag.journalagent.com",Turk Kardiyoloji Dernegi …,"Percutaneous extraction of a short, 0.038-inch guide wire retained in the right common iliac artery",Percutaneous extraction of intravascular foreign bodies with the help of specifically designed devices is the standard method of treatment and should be attempted in appropriate cases …,https://jag.journalagent.com/z4/download_fulltext.asp?pdir=tkd&plng=tur&un=TKDA-59244,Google Scholar,,,
2008,"PATHARE, S.",SS PATHARE,"SS PATHARE - Pediatric Hospital Medicine: Textbook of Inpatient …, 2008 - books.google.com",Pediatric Hospital Medicine: Textbook of Inpatient …,B FOREIGN BODY INGESTION,Foreign body ingestion is a very common pediatric problem. Most ingestions occur in children under the age of 4 years. The majority of ingested foreign bodies (up to 80% to 90%) are …,https://books.google.com/books?hl=en&lr=&id=sV6-ifUGoMYC&oi=fnd&pg=PA238&dq=(%22foreign+obj*%22+OR+%22foreign+bod*%22)&ots=27NXEvXDaV&sig=-YTxn2e8mBiGViTdaayVMHpOr7k,Google Scholar,,,
2008,"Mursch, H.","H Allouch, J Behnke-Mursch, K Mursch","H Allouch, J Behnke-Mursch, K Mursch - Acta Neurochirurgica, 2008 - Springer",Acta Neurochirurgica,Retrieval of foreign bodies adjacent to the nervous system: aspects of intra-operative use of ultrasound,"The retention of a foreign body during a surgical procedure or the inadvertent migration of an implant are rare but potentially harmful complications. Especially in the case of the former, …",https://link.springer.com/article/10.1007/s00701-007-1402-z,Google Scholar,,,
2008,"Antonitsis…, T.","T Syrakos, E Zacharakis, P Antonitsis…","T Syrakos, E Zacharakis, P Antonitsis… - Medical Principles and …, 2008 - karger.com",Medical Principles and …,Surgical intervention for gastrointestinal foreign bodies in adults: a case series,Objective: The aim of our study was to demonstrate our experience regarding the surgical treatment of complications after foreign body ingestion. Subject and Methods: From 1997 to …,https://karger.com/mpp/article-abstract/17/4/276/204060,Google Scholar,,,
2009,"Jiang, C.","CP Wang, SL Jiang","CP Wang, SL Jiang - Journal of the Formosan Medical Association, 2009 - Elsevier",Journal of the Formosan Medical Association,Migrating fish bone presenting as acute onset of neck lump,"We encountered a 62-year-old woman with a progressively worsening sore throat and a sharp lump located in her left upper neck, which appeared several hours before admission. …",https://www.sciencedirect.com/science/article/pii/S0929664609600486,Google Scholar,,,
2009,"Chiles…, M.","M Boyd, A Chatterjee, C Chiles…","M Boyd, A Chatterjee, C Chiles… - Southern medical journal, 2009 - researchgate.net",Southern medical journal,Tracheobronchial foreign body aspiration in adults,"Tracheobronchial foreign body (TFB) aspiration is rare in adults, although incidence rates increase with advancing age. Risk factors for TFB aspiration in adults are a depressed mental …",https://www.researchgate.net/profile/Caroline-Chiles/publication/23782898_Tracheobronchial_Foreign_Body_Aspiration_in_Adults/links/5b0ee56fa6fdcc80995badac/Tracheobronchial-Foreign-Body-Aspiration-in-Adults.pdf,Google Scholar,,,
2009,"Mahmoud…, O.","O Balci, H Goktepe, AS Mahmoud…","O Balci, H Goktepe, AS Mahmoud… - Taiwanese Journal of …, 2009 - scholar.archive.org",Taiwanese Journal of …,Intravaginal foreign bodies placed in the vagina to treat uterine prolapse retained for 35 years,Rogenhofer et al [4] presented a 56-year-old patient with a foul-smelling vaginal discharge and postmenopausal bleeding. An aerosol cap was extracted from the vagina. The patient …,https://scholar.archive.org/work/ndz7klkosjcmxb4cqfec6bggdi/access/wayback/https://core.ac.uk/download/pdf/82116903.pdf,Google Scholar,,,
2009,"Zakirullah, M.","M Hafeez, I Zakirullah","M Hafeez, I Zakirullah - Seeds, 2009 - ajss.abasyn.edu.pk",Seeds,Foreign body nose in children: a common problem with social roots,Objectives: Objectives: To determine the patient management factors and patient outcomes in pediatric patients of foreign bodies in nose. Material and Methods: Material and Methods: …,http://ajss.abasyn.edu.pk/admineditor/papers/V2I1-6.pdf,Google Scholar,,,
2009,"Uzunkoy, F.","F Yildiz, A Terzi, S Coban, H Cece, A Uzunkoy","F Yildiz, A Terzi, S Coban, H Cece, A Uzunkoy - Acta Medica Academica, 2009 - ama.ba",Acta Medica Academica,Perforation of the terminal ileum secondary to ingestion of duck bone,"Foreign body (FB) ingestion is a common clinical problem. The majority of swallowed object are often passed spontaneouslywithout complications. However, a small proportion ofFB …",https://www.ama.ba/index.php/ama/article/view/53,Google Scholar,,,
2009,"Yang…, S.","S Novak, S Satapathy, S Yang…","S Novak, S Satapathy, S Yang… - Official journal of the …, 2009 - journals.lww.com",Official journal of the …,Foreign Bodies in Distal Gastrointestinal Tract: A Clinical Characterization: 297,Purpose: Ingestion of small foreign bodies rarely results in complications and the presenting symptoms are usually vague abdominal pain and the diagnosis remains a challenge. It is …,https://journals.lww.com/ajg/fulltext/2009/10003/foreign_bodies_in_distal_gastrointestinal_tract__a.297.aspx,Google Scholar,,,
2010,"Khodabakhsh, A.","A Mohamadi, M Khodabakhsh","A Mohamadi, M Khodabakhsh - Ulus Travma Acil Cerrahi …, 2010 - jag.journalagent.com",Ulus Travma Acil Cerrahi …,Retained wooden foreign body in lung parenchyma: a case report,"Despite advances in imaging techniques, the detection of retained wooden foreign bodies remains a difficult and challenging task. The detection of wood is especially important …",https://jag.journalagent.com/z4/download_fulltext.asp?pdir=travma&plng=eng&un=UTD-67778,Google Scholar,,,
2010,"Aydoğan…, K.","K Atila, T Unek, AI Sevinc, B Aydoğan…","K Atila, T Unek, AI Sevinc, B Aydoğan… - Ulus Travma Acil …, 2010 - jag.journalagent.com",Ulus Travma Acil …,Delayed complete gastric outlet obstruction due to a dinner fork: report of a case,"Ingestion of foreign bodies can be a common problem especially among children, alcoholics, psychiatric patients, and senile patients, but ingestion of a metallic dinner fork is uncommon…",https://jag.journalagent.com/travma/pdfs/UTD-19870-CASE_REPORTS-ATILA.pdf,Google Scholar,,,
2010,"Schullian…, G.","G Widmann, R Stoffner, P Schullian…","G Widmann, R Stoffner, P Schullian… - … Journal of Oral & …, 2010 - search.ebscohost.com",… Journal of Oral & …,Comparison of the accuracy of invasive and noninvasive registration methods for image-guided oral implant surgery.,Purpose: Registration refers to the linkage of coordinates from an image with actual patient coordinates and has been shown to be the most influential factor in the accuracy of image-…,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=08822786&AN=51972823&h=E0cBuJKOLIZs9kSz0PRkkQoDe9HpLCZBIuH7AhDeWGwG9h%2F2kfaP4b0HjrA1JKcLWr30oyg8KwiDi1u86WOZUw%3D%3D&crl=c,Google Scholar,,,
2010,"Khan…, M.","MA Kurer, C Davey, S Khan…","MA Kurer, C Davey, S Khan… - Colorectal Disease, 2010 - Wiley Online Library",Colorectal Disease,Colorectal foreign bodies: a systematic review,Aim To perform a systematic review of the published reports on retained colorectal foreign bodies (CFBs) to collate the features and formulate a simple management plan based on the …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1463-1318.2009.02109.x,Google Scholar,,,
2010,"Latic…, F.","F Latic, S Delibegovic, E Zerem, A Latic…","F Latic, S Delibegovic, E Zerem, A Latic… - Acta Informatica …, 2010 - search.proquest.com",Acta Informatica …,Extraction of foreign Body from distal oesophagus by using endoscopic and laparoscopic Method,"Most of the foreign bodies which enter oesophagus will pass through it freely, while 10-20% of them in most cases remain in physiological and pathological narrowings what requires an …",https://search.proquest.com/openview/297ed0f591a8d3b4ce65e088fd234eb6/1?pq-origsite=gscholar&cbl=1216391,Google Scholar,,,
