Publication Year,First Author,Authors,Publication Title,Title,Abstract,DOI,Database
2008,"Adewumi, A.","Adewumi, A; Kays, DW",Pediatric Dentistry,Stainless steel crown aspiration during sedation in pediatric dentistry,"Foreign body aspiration (FBA) causes death in more than 300 children every year in the United States. Morbidity and mortality ore increased in children due to narrow airways and immature protective mechanisms. Factors to consider in pediatric dentistry ore: (7) the patient's age and behavior; (2) presence and extent of disability; (3) local anesthesia; (4) body positioning; and (5) loose teeth. FBA requires prompt recognition and early treatment to minimize potentially serious and sometimes fatal consequences. The purpose of this case report was to describe the aspiration of a stainless steel crown in a 5-year-old boy during conscious sedation. It also discusses how a prompt and accurate diagnosis, early referral, and immediate treatment helped prevent serious Complications.",,Web of Science
2008,"Bak-Romaniszyn, L.","Bak-Romaniszyn, L; Czkwianianc, E; Malecka-Panas, E",Przeglad Gastroenterologiczny,Foreign bodies in the alimentary tract in children,"Introduction: A foreign body found in the alimentary tract in small children most frequently results from accidental swallowing, but in older children it is sometimes swallowed intentionally. Aim: The aim of the study was to perform an analysis of cases of children hospitalised at the Department of Gastroenterology, Polish Mother's Health Centre Institute in Lodz in the years 2001-2007 due to foreign body swallowing. Material and methods: 52 children, aged from 7 months to 17 years (32 girls and 20 boys), who were admitted to hospital due to swallowing of objects (or suspected swallowing of objects) and clinical symptoms suggesting that foreign bodies were in the alimentary tract. Results: Accidental swallowing concerned 87%, intentional 11%, and mixed 2% of the cases. Among the hospitalised children 67% were up to 4 years of age, 23% were 5-10 years old and 10% were over 10 years of age. The presence of a foreign body in the alimentary tract was confirmed in 85% of children; the body was removed in 95% of the cases, and in 5% the swallowed object was out of range of the endoscope. The objects removed were: coins 40%, small toys or their parts 17%, pins 12%, electronic batteries 10% and others 21% (including jewellery, toothbrush, telephone aerial, stone and fragments of various objects). Clinical consequences which occurred in children were differentiated: from topical such as gastric and duodenal erosive lesions in 30%, decubitus ulcers in 23%, chemical burns of the oesophageal mucosa in 7%, to acute laryngitis (2%) and aspiration pneumonia in 2%. Conclusion: Cases of a foreign body found in the alimentary tract most frequently concern accidental swallowing of coins and small objects by small children.",,Web of Science
2008,"Bisharat, M.","Bisharat, May; O'Donnell, Mark E.; Gibson, Niall; Mitchell, Michael; Refsum, Sigi R.; Carey, P. Declan; Spence, Roy Aj; Lee, Jack",Ulster Medical Journal,Foreign body ingestion in prisoners - the belfast experience,"Deliberate ingestion of foreign bodies is common amongst prison inmates. The motives behind the ingestion are variable. As the only designated hospital in  Northern Ireland treating acute surgical pathologies in the prison population, we  reviewed our experience of foreign body ingestion between March 1998 and June  2007. Types of foreign objects, symptomatology, haematological analyses,  radiological findings, operative intervention and complications were retrieved  from case notes. A literature search was performed using Medline to correlate  this clinical data with published evidence to produce therapeutic guidelines to  assist the surgical multi-disciplinary team. Eleven prisoners presented with  foreign body ingestion over the study period (M=8 and F=3, mean age: 28.1 years,  range 21-48). Mean follow-up was 597 days (range 335-3325 days). Although the  literature states that most foreign bodies usually pass spontaneously without the  need for intervention, this study demonstrates a higher intervention rate of 36%  within the Northern Irish prison population in comparison with other prisoners.",,PubMed
2008,"Comman, A.","Comman, A.; Gaetzschmann, P.; Hanner, T.; Behrend, M.",Jsls : Journal Of The Society Of Laparoendoscopic Surgeons,A case of needle ingestion in a female - laparoscopic retrieval,"BACKGROUND: Ingestion of foreign bodies is an old medical problem of decreasing occurrence. Several cases have been reported in the medical literature, and the  diagnostic and therapeutic approaches must be applied in a multifaceted and  differentiated manner. CASE REPORT: Our case concerns a 54-year-old female with  accidental swallowing of a needle. We describe our diagnostic procedure with  laparoscopic removal of the appendix due to fixation of the object in the right  lower abdomen. DISCUSSION: The ingestion of foreign bodies is an old medical  problem, although its incidence has decreased drastically due to changes in  lifestyles. Today, it is rather the unusual cases and intentional ingestion that  are in the forefront. Initial endoscopic treatment attempts are followed by the  ""wait-and-see"" attitude in hopes of spontaneous passage that can be monitored via  radiological methods. If the object does not pass naturally and is localized in  the colon, what remains as a treatment option is endoscopy followed by surgery  that can be performed in a minimally invasive manner.",,PubMed
2008,"Comman, A.","Comman, A; Gaetzschmann, P; Hanner, T; Behrend, M",Jsls-Journal Of The Society Of Laparoendoscopic Surgeons,A case of needle ingestion in a female - laparoscopic retrieval,"Background: Ingestion of foreign bodies is an old medical problem of decreasing occurrence. Several cases have been reported in the medical literature, and the diagnostic and therapeutic approaches must be applied in a multifaceted and differentiated manner. Case Report: Our case concerns a 54-year-old female with accidental swallowing of a needle. We describe our diagnostic procedure with laparoscopic removal of the appendix due to fixation of the object in the right lower abdomen. Discussion: The ingestion of foreign bodies is an old medical problem, although its incidence has decreased drastically due to changes in lifestyles. Today, it is rather the unusual cases and intentional ingestion that are in the forefront. Initial endoscopic treatment attempts are followed by the wait-and-see attitude in hopes of spontaneous passage that can be monitored via radiological methods. If the object does not pass naturally and is localized in the colon, what remains as a treatment option is endoscopy followed by surgery that can be performed in a minimally invasive manner.",,Web of Science
2008,"Malik, A.","Malik, Arshad M.","Journal Of Ayub Medical College, Abbottabad : Jamc",Small bowel perforations due to deliberate ingestion of injurious foreign bodies--a personal experience,Ingestion of foreign bodies is not an uncommon problem in our society. The patients usually ingest different types of foreign bodies either accidentally or  deliberately. Rare in children but adults are not uncommonly affected and are  either psychiatric patients or ingest foreign bodies accidentally. Life  threatening complications may occur at times due to ingestion of sharp and  pointed objects. An interesting case of ingestion of multiple injurious foreign  bodies presenting with multiple small intestinal perforations is presented with  review of literature.,,PubMed
2008,"Pavlidis, T.","Pavlidis, TE; Marakis, GN; Triantaffylou, A; Psarras, K; Kontoulis, TM; Sakantamis, AK",Surgical Laparoscopy Endoscopy & Percutaneous Techniques,Management of ingested foreign bodies. how justifiable is a waiting policy?,"Foreign body ingestion is a commonly seen accident in emergencies, usually in children (80%), elderly, mentally impaired, or alcoholic individuals, whereas it may occur intentionally in prisoners or psychiatric patients. According to the literature, 90% of ingested foreign bodies pass through the gastrointestinal tract without complications, 10% to 20% necessitate endoscopic removal, whereas only 1% of them will finally need surgical intervention. In clinical practice, we often face the dilemma of choosing the appropriate treatment modality. We present 13 cases treated in our department, emphasizing in a waiting and close observation policy. Among these cases, only I patient needed to be operated because of obstruction of ileocecal valve by a large coin. Indications for treatment where applicable are also being discussed.",10.1097/sle.0b013e31816b78f5,Web of Science
2008,"Rakoto-Ratsimba, H.","Rakoto-Ratsimba, H. N.; Mandeville, K. L.; Rabesalama, S. S. E. N.; Rahaingo, M. M.; Ranaivozanany, A.",Medecine Tropicale : Revue Du Corps De Sante Colonial,Chronic dysphagia in a patient from madagascar,"While esophageal foreign bodies are a common occurrence, late discovery is rare. The purpose of this report is to describe an unusual case in which a set of  dentures lodged in the thoracic esophagus was discovered and surgically removed  15 years after accidental ingestion. Inadequacy of health care in remote regions  of Madagascar accounts for this clinical case. Diagnosis and management of  esophageal foreign bodies are discussed.",,PubMed
2008,"Wraight, W.","Wraight, WM; Belcher, HJCR; Critchley, HD",Journal Of Plastic Reconstructive And Aesthetic Surgery,Deliberate self-harm by insertion of foreign bodies into the forearm,"Deliberate self-harm is common. It is usually by drug overdose or ingestion of other noxious substances, but self-harm by cutting or burning often comes to the attention of plastic surgeons. We report three variant cases involving insertion of paperclips, a ballpoint pen cartridge and sewing needles into the forearm. We discuss the management considerations of each case and emphasise the importance of actively addressing the underlying psychiatric problems for all instances of deliberate selfharm. (C) 2007 British Association of Plastic, Reconstructive and Aesthetic Surgeons. Published by Elsevier Ltd. All rights reserved.",10.1016/j.bjps.2007.04.004,Web of Science
2009,"Hasala, P.","Hasala, P.; Hadwiger, J.; Gryga, A.; Folprecht, M.",Rozhledy V Chirurgii : Mesicnik Ceskoslovenske Chirurgicke Spolecnosti,Foreign bodies--uncommon causes of git injuries,"Injuries to various parts of the digestive tract caused by foreign bodies, frequently deliberately swallowed or inserted using various practics, are less  common, however serious injuries. The symptomatology may be vague, credibility is  often limited or anamnestic data may be intentionaly missing, which makes the  diagnostic process tricky. Undefined, vague signs are related to specificities  during the GIT perforation, so called hidden perforation. The recovery is  commonly complicated, with a resulting handicap of stool incontinence or of  colostomy. This is demonstrated on several subjects, treated in our surgical  department.",,PubMed
2009,"Mercier, F.","Mercier, FJ; Bonnet, MP",Current Opinion In Anesthesiology,Tattooing and various piercing: anaesthetic considerations,"Purpose of review Body art is increasing since the 1990s. Anaesthesiologists would be more and more confronted to patient with tattooing or piercing, or both. This review discusses the anaesthetic potential risks and complications observed with tattooing and piercing, their management and prevention. Recent findings Airway management during anaesthesia is of particular interest with oral jewellery. Patients often refuse to remove their piercing for fear of tract closure. There are no serious complications reported after epidural puncture through a tattoo, although any long-term consequence cannot be discarded yet. Even theoretical concerns are more and more debated. Summary Oral and nasal piercing is of particular concern because of the risks of swallowing and aspiration. Consequently, patients should be advised to remove piercing before anaesthesia. Emergency situations are especially risky and anaesthesiologists should be aware of the piercing removal techniques. In case of piercing loss, radiographies and fiberoptic endoscopy of the upper airways and digestive tracts should be performed to eliminate aspiration or swallowing of the foreign body. Epidurals should not be denied to parturients with lumbar tattooing. However, it seems still prudent to avoid direct tattoo puncture or when unavoidable, to nick the skin prior to inserting the needle through the tattoo.",10.1097/aco.0b013e32832a4125,Web of Science
2009,"Orofino, A.","Orofino, Antonio; Lanzillotto, Maria Paola; D'Amato, Michele; Rutigliano, Vincenzo; Fanelli, Benito",La Pediatria Medica E Chirurgica : Medical And Surgical Pediatrics,Foreign body ingestion in children: our experience and review of the literature,"Foreign body ingestion is a frequent event in paediatric population, especially in the first six years of life. Even if the event is normally cause of anxiety  for the parents witness of the situation, fortunately most ingested foreign  bodies ingestion, about 80-90%, pass spontaneously, 10-20% of cases needs an  endoscopic intervention and only in less than 1% of cases surgery is necessary.  Many authors suggest different guide-lines for diagnosis and therapy of foreign  body ingestion in children. These purposes are discordant not only on potential  danger of foreign body, but also on timing and last of waiting period before  endoscopic extraction. Here we report our own experience: a retrospective review  of three hundred consecutive paediatric cases of foreign body ingestion between  June 2001 and February 2008. This study don't take in account patients with  pathology either organic either functional, that can cause stop of food  progression. We describe and discuss about medical diagnostic and therapeutic  procedures that have been done during the time of hospitalization and performed  according to classic and new international literature, with the objective to  propose recommendations helpful for a correct management of children presenting  with a history of suspected ingestion of a foreign body.",,PubMed
2009,"Schrom, T.","Schrom, T; Amm, S",Laryngo-Rhino-Otologie,Unusual case of oesophageal foreign body as part of a self-harm syndrome,"Introduction: Foreign bodies in the oesophagus represent a frequent emergency situation in ENT medicine. Usually the cases involve lumps of meat, bones, shards of glass, bottle tops, batteries or dentures. We would like to report about an unusual foreign body found in the oesophagus. Patient: A 45-year-old patient presented himself in our interdisciplinary casualty department where he claimed to have swallowed a butter-knife that morning as a bet. The ENT examination showed no abnormal findings. The thorax X-Ray revealed a 14 cm-long foreign body in projection to the oesophagus, which matched the knife. Following consultation with the thorax surgeon, a rigid oesophagoscopy was conducted under endotracheal intubation and the knife was easily removed using tongs. Archive searches conducted in the meantime showed that foreign bodies had been removed from the patient on numerous occasions by fellow surgeons either laparoscopically or via open surgery. As a result, the patient was transferred to the psychiatric ward with unimpeded swallowing reflex with a suspected self-harming syndrome. Discussion: As an ENT emergency, a foreign body in the oesophagus generally requires intervention because of the risk of complications such as perforation or pressure-induced necrosis of the oesophagus wall with resulting mediastinitis. Suitable instruments are the flexible oesophagoscope, the rigid oesophagoscope under anaesthesia or transcervical/transthoracic removal. The choice of procedure crucially depends on the type and localisation of the foreign body in the oesophagus. Particularly in cases of unusual foreign objects or repeated foreign object ingestion, it should be considered whether a psychological illness could be the cause and whether the introduction of appropriate therapy could be expedient.",10.1055/s-0028-1100381,Web of Science
2009,"Schrom, T.",Schrom T.; Amm S.,Laryngo- Rhino- Otologie,Unusual case of oesophageal foreign body as part of a self-harm syndrome; ungewöhnlicher ösophagusfremdkörper im rahmen eines autoaggressionssyndroms,"Introduction: Foreign bodies in the oesophagus represent a frequent emergency situation in ENT medicine. Usually the cases involve lumps of meat, bones, shards of glass, bottle tops, batteries or dentures. We would like to report about an unusual foreign body found in the oesophagus. Patient: A 45-year-old patient presented himself in our interdisciplinary casualty department where he claimed to have swallowed a butter-knife that morning as a bet. The ENT examination showed no abnormal findings. The thorax X-Ray revealed a 14 cm-long foreign body in projection to the oesophagus, which matched the knife. Following consultation with the thorax surgeon, a rigid oesophagoscopy was conducted under endotracheal intubation and the knife was easily removed using tongs. Archive searches conducted in the meantime showed that foreign bodies had been removed from the patient on numerous occasions by fellow surgeons either laparoscopically or via open surgery. As a result, the patient was transferred to the psychiatric ward with unimpeded swallowing reflex with a suspected self-harming syndrome. Discussion: As an ENT emergency, a foreign body in the oesophagus generally requires intervention because of the risk of complications such as perforation or pressure-induced necrosis of the oesophagus wall with resulting mediastinitis. Suitable instruments are the flexible oesophagoscope, the rigid oesophagoscope under anaesthesia or transcervical / transthoracic removal. The choice of procedure crucially depends on the type and localisation of the foreign body in the oesophagus. Particularly in cases of unusual foreign objects or repeated foreign object ingestion, it should be considered whether a psychological illness could be the cause and whether the introduction of appropriate therapy could be expedient. © Georg Thieme Verlag KG Stuttgart.",10.1055/s-0028-1100381,SCOPUS
2010,"Huang, B.","Huang, BL; Rich, HG; Simundson, SE; Dhingana, MK; Harrington, C; Moss, SF",Clinical Gastroenterology And Hepatology,Intentional swallowing of foreign bodies is a recurrent and costly problem that rarely causes endoscopy complications,"BACKGROUND & AIMS Guidelines support endoscopic removal of certain gastric foreign bodies (FBs) and all FBs lodged in the esophagus We studied the poorly understood group of patients who intentionally ingest FBs METHODS Cases of intentional ingestion of FBs (n = 305) were identified, retrospectively, from an electronic endoscopy database and followed Cases occurred among 33 different patients, who under went endo copy from October 1, 2001, to July 31, 2009 (39 0 cases/year) 79% were diagnosed with a psychiatric disorder Financial cast analysis was performed using hospital billing and cost systems RESULTS Commonly ingested FBs included pens (23 6%), batteries (9 2%), knives (7 2%), and razor blades (6 9%) More endoscopic procedures were performed under general anesthesia FBs were commonly retrieved by snares (58 0%), rat toothed forceps (14 4%), and nets (11 5%), assisted some times by use of overtubes (10 8%), and hoods (4 6%) FB extraction was unsuccessful at the initial endoscopy in only 20 cases, 2 cases eventually required surgical extraction Minor complications occurred in 11 endoscopies There were no deaths or perforations The total estimated costs were $2,018,073 ($1,500,62(7) in hospital costs, $240,640 in physician fees, and $276 806 for security services) Costs were significantly higher for inpatients Major payers were Medicare (48%) and Medicaid (31%) CONCLUSIONS Intentional FB ingestion occurs among a relatively small number of patients with psychiatric disorders and is costly Endoscopic retrieval is relatively effective and,safe, but often requires general anesthesia These cases utilize significant hospital and fiscal resources Attention should be focused on preventing these recurrent and costly episodes",10.1016/j.cgh.2010.07.013,Web of Science
2010,"Ioannidis, O.","Ioannidis, O.; Kakoutis, E.; Sakkas, L.; Konstantara, A.; Chatzopoulos, S.; Kotronis, A.; Makrantonakis, N.",Acta Gastro-Enterologica Belgica,Ingested toothpick fistula of the ileum mimicking crohn's disease,"Foreign body ingestion is an accidental or an intentional event, with most of the ingested foreign bodies passing spontaneously through the gastrointestinal tract  without incidents. About 10-20% of them, especially long and sharp objects like  toothpicks, will fail to pass through the entire gastrointestinal tract and may  cause symptoms. Toothpick injury of the gastrointestinal tract is often  associated with considerable morbidity and mortality. The complications that can  be caused by toothpick ingestion are obstruction, perforation, hemorrhage,  fistula formation, small bowel inflammation, sepsis and even death. Diagnosis of  toothpick injury can be difficult as there are no specific physical findings or  laboratory examinations which may aid the diagnosis and even imaging studies are  of little help as wooden toothpicks are radiolucent. We report a rare case of  incidental toothpick ingestion which caused an ileum fistula and mimicked Crohn's  disease.",,PubMed
2010,"Pearson, E.","Pearson, EG; Downey, EC; Barnhart, DC; Scaife, ER; Rollins, MD; Black, RE; Matlak, ME; Johnson, DG; Meyers, RL",Journal Of Pediatric Surgery,Reflux esophageal stricture-a review of 30 years' experience in children,"Purpose: Strictures of the esophagus in children may have multiple etiologies including congenital, inflammatory, infectious, caustic ingestion, and gastroesophageal reflux (peptic stricture [PS]). Current literature lacks good data documenting long-term outcomes in children. This makes it difficult to counsel some patients about realistic treatment expectations. The objective of this study is to evaluate our institutional experience and define the natural history and treatment outcomes. Methods: A retrospective review of clinical data obtained from children who underwent dilation for PS was performed. Results: Over the past 30 years, 114 children and adolescents received 486 dilations. The most common indications for stricture dilation were PS (42%) and esophageal atresia (38%). Other lesser indications included congenital, foreign body, corrosive, cancer, radiation, allergic, and infectious. This review focuses on the 48 children with PS. Of the children with PS, a congenital anomaly was identified in 23 children; and 12 had neurologic impairment. Average age at presentation was 10.2 years (range, 0.5-18.3 years). Most patients had had symptoms for many months before diagnosis. Peptic stricture was most common in the lower esophagus (n = 39). However, middle (n = 8) and upper (n = 1) strictures were occasionally identified. Noncompliance with medical therapy was a challenge in 12% (n = 5) of children. Children with a PS received a median of 3 dilations, but a subset of 5 patients with severe strictures underwent up to 48 dilations (range, 1-48). Repeated dilations were required for a median of 20 months (range, 1-242 months). Among patients receiving esophageal dilation for PS, 94% required an antireflux procedure (19% required a second antireflux surgery). A subgroup of patients (n = 10) was identified who required extended dilations, multiple surgeries, and esophageal resection. This subgroup had a significantly longer period of symptomatic disease and increased risk of esophageal resection compared with those patients requiring fewer dilations. Surgical resection of the esophageal stricture was ultimately required in 3 children with PS after failure of more conservative measures. Conclusion: Children and adolescents presenting with reflux esophageal stricture (PS) frequently require antireflux surgery, redo antireflux surgery, and multiple dilations for recurrent symptoms. We hope that these data will be of use to the clinician attempting to counsel patients and parents about treatment expectations in this challenging patient population. (C) 2010 Elsevier Inc. All rights reserved.",10.1016/j.jpedsurg.2010.08.033,Web of Science
2011,"Gayer, G.","Gayer, G; Petrovitch, I; Jeffrey, RB",Radiographics,Foreign objects encountered in the abdominal cavity at ct,"Foreign objects are not infrequently seen at computed tomography (CT) of the abdomen and pelvis and may pose a diagnostic challenge to the radiologist, who must recognize the object, characterize its nature and location, and determine its clinical significance. Most foreign objects are incidentally detected at CT, but they may mimic a wide range of pathologic conditions. Some foreign objects (eg, an object that has been swallowed either intentionally or unintentionally) are the cause of the patient's signs and symptoms and require prompt medical attention. Other objects, such as a sponge or surgical instrument that has been retained postoperatively, may have medicolegal consequences. Furthermore, certain objects, such as intentionally concealed drug packets, may go undetected unless a high degree of suspicion exists and appropriate window settings are used to review the study. The radiologist should be familiar with the wide range of foreign objects that may be encountered at abdominopelvic CT, be able to recognize them promptly, and understand their implications for patient treatment. (C) RSNA, 2011.radiographics.rsna.org",10.1148/rg.312105123,Web of Science
2011,"Guirgis, M.","Guirgis, M; Nguyen, R; Pokorny, C",Medical Journal Of Australia,Accidental ingestion of plastic from takeaway containers - food for thought,"Foreign body oesophageal obstruction is a medical emergency It may be accidental, particularly in children, or deliberate, for example with suicide attempts. We present two cases illustrating accidental oesophageal foreign body impaction occurring after consumption of food that had been heated in a plastic container in a microwave oven, then cut and eaten directly from the softened container. To date, we are not aware of any similar reports. In view of potential complications, care needs to be taken when food is eaten directly from plastic takeaway containers. (MJA 2011; 194: 245-246)",10.5694/j.1326-5377.2011.tb02955.x,Web of Science
2011,"Ribakovs, A.","Ribakovs, Aleksandrs; Uzoigwe, Chika",American Surgeon,From cylindrical battery ingestion to right hemicolectomy,,,PubMed
2011,"Sobnach, S.","Sobnach, S; Castillo, F; Vinent, RB; Kahn, D; Bhyat, A",Heart Lung And Circulation,Penetrating cardiac injury following sewing needle ingestion,"Penetrating cardiac injuries are common in South Africa. Reports describing traumatic lesions to the heart caused by caudo-cranial migration of ingested foreign bodies are however extremely rare. Delayed presentation and intervention are associated with poor outcome in these patients; cardiac tamponade remains the most serious complication. We present the case of a 19 year-old man who sustained a left ventricular injury after intentionally swallowing eight sewing needles The impacted needle was removed through a median sternotomy and the patient recovered uneventfully. (Heart, Lung and Circulation 2011;20:479-481) (C) 2011 Australasian Society of Cardiac and Thoracic Surgeons and the Cardiac Society of Australia and New Zealand. Published by Elsevier Inc. All rights reserved.",10.1016/j.hlc.2011.01.006,Web of Science
2011,"Tripathi, T.","Tripathi, T; Rai, P; Singh, H",American Journal Of Orthodontics And Dentofacial Orthopedics,Foreign body ingestion of orthodontic origin,"Foreign bodies in the ear, nose, and throat are commonly seen in family medicine, usually in children. Occasionally, orthodontic appliances or parts of orthodontic appliances are accidentally swallowed and have caused problems with either the airway or the gastrointestinal tract. The purposes of this article were to describe the type of appliances most likely to cause problems and to discuss their clinical management. The case of a patient who swallowed a key for turning fixed expansion appliances is presented. The key became lodged in the patient's pharynx but subsequently passed through the gastrointestinal tract. Suggestions are made to prevent the problems that were encountered in this case and others reported in the literature in orthodontic patients.(Am J Orthod Dentofacial Orthop 2011;139:279-83)",10.1016/j.ajodo.2009.04.026,Web of Science
2011,"Tıhan, D.","Tıhan, Deniz; Trabulus, Didem; Altunkaya, Aykut; Karaca, Selami; Cıhan, Alper; Aliş, Halil",Turkish Journal Of Gastroenterology : The Official Journal Of Turkish Society Of Gastroenterology,Esophageal perforation due to inadvertent swallowing of a dental prosthesis,"Intentional or inadvertent swallowing of foreign bodies can lead to severe complications in the gastrointestinal tract, primarily in the esophagus, and  requires an urgent approach. In children, coins are the most commonly seen  foreign bodies in the esophagus. However, in adults, the solid components of  meals, like bones, and in the elderly population dental prostheses are the most  frequently observed ingested foreign bodies. Even though a swallowed dental  prosthesis is usually seen as a geriatric problem, esophageal obstruction and/or  perforation can occur in any denture user in any age group. Thus, the aim of this  report was to present one of these interesting cases of esophageal perforation  due to a partial denture ingestion and its treatment in a 32-year-old male.",10.4318/tjg.2011.0290,PubMed
2012,"Atluri, D.","Atluri, Dileep; Veluru, Chandra; Chopra, Anish; Mullen, Kevin D.",Gastroenterology & Hepatology,Recurrent intentional foreign body ingestion: an endoscopist's dilemma,,,PubMed
2012,"Kiser, M.","Kiser, MM; Samuel, JC; Mclean, SE; Muyco, AP; Cairns, BA; Charles, AG",International Journal Of Surgery,Epidemiology of pediatric injury in malawi: burden of disease and implications for prevention,"Purpose: Pediatric injuries pose a significant health burden in sub-Saharan Africa, though historic data are too scarce to appreciate the extent of the problem. The purpose of this study is to utilize a comprehensive database to describe the epidemiology of pediatric injuries at a tertiary hospital in Malawi. Methods: Data were prospectively collected on patients presenting to the emergency department for treatment of injuries from 2008 to 2010 (n = 23,625). The subset of pediatric patients (n = 7233) underwent cross-sectional analysis to examine demographics, injury environment, timing and mechanisms. Results: Pediatric patients, (0-16 years) comprised 30.6% of all trauma patients. Mean age was 7.2 years. Falls were the most common injury (43%), followed by burns (11.1%), pedestrian road traffic injuries (9.7%), foreign bodies (7.5%), and assaults (7.2%). Statistically significant differences in injury pattern were observed between gender, age groups and season. After logistic regression, predictors of fall included male gender, home setting, and rainy season, whereas predictors of burn included female gender, age 0-5 yrs, home setting, and cold season. Predictors of pedestrian injury included age 6-10 yrs, female, and roadside setting. Predictors of foreign body ingestion included age 0-5 yrs, female gender, home setting, and daytime, and predictors of assault include male gender, age 11-16 yrs, nighttime hours. All predictors were statistically significant (p < 0.05). Conclusions: This study revealed patterns of injury based upon age, gender, location, and season. Our results may prove useful to stakeholders in injury prevention for designing, evaluating, and implementing programs to improve public safety in children in Malawi and similar resource poor nations. Published by Elsevier Ltd on behalf of Surgical Associates Ltd.",10.1016/j.ijsu.2012.10.004,Web of Science
2012,"Klein, C.","Klein, Carolina A.",Journal Of The American Academy Of Psychiatry And The Law,Intentional ingestion and insertion of foreign objects: a forensic perspective,"Intentional ingestion and insertion of foreign objects is a topic that has generated mounting interest among medical professionals over the past two  decades. When featured in the literature, it has been typically discussed in  medical subdisciplines, such as emergency medicine, surgery, gastroenterology,  and urology. However, in-depth exploration of this multidimensional phenomenon in  the field of psychiatry has thus far been limited. This article presents  illustrative clinical vignettes from forensic practice of deliberate  ingestion/insertion of objects and then examines specific aspects of this  behavior that are critical to achieving a better understanding of it. The  clinical, legal, and ethics-related implications surrounding this conduct are  also explored. By taking a comprehensive approach, the aim is to foster a greater  appreciation of this syndrome by clinicians and ultimately to arrive at improved  practice guidelines surrounding these cases, including a more informed  therapeutic plan and an enhanced management approach.",,PubMed
2012,"Walsh, B.","Walsh, Barent W.",,"Treating self-injury: a practical guide, 2nd ed","This practitioner resource is acclaimed for its clear, compassionate, and hopeful approach to working with clients who self-injure. Barent W. Walsh provides current, evidence-based knowledge about this increasingly prevalent problem and how to treat it effectively. Fully revised to incorporate the latest research and clinical strategies, the second edition uses a stepped-care framework to match interventions to client needs. It features new chapters on the relationship between suicide and self-injury; formal assessment; family therapy; residential treatment for adolescents; and severe types of self-injury. Walsh is joined by several colleagues who have contributed chapters in their respective areas of expertise. Part I offers a practical introduction to self-injury: what specific behaviors clinicians are likely to encounter, which populations are most at risk and why, and connections to suicidality. Part II, the core of the volume, addresses assessment and treatment. Chapters on a wide range of cognitive-behavioral interventions include vivid case examples that illuminate the thoughts and feelings of self-injurers and show what the therapeutic strategies look like in action. Clinicians get essential guidance for tailoring interventions for clients with different symptom presentations, levels of impairment, and co-occurring problems. Part III covers special topics, including managing self-injury in school settings and correctional facilities. Chapters also present vital information on dangerous behaviors such as the 'choking game,' foreign body ingestion, and major self-injury. Rounding out the volume, the appendices contain helpful resources, including assessment instruments and a manual for teaching breathing techniques to manage distress. These and other reproducible materials in the book can be downloaded and printed in a convenient 8 1/2' x 11' size (www.guilford.com/p/walsh5). From a highly regarded leader in the field, this invaluable guide belongs on the desks of clinical psychologists, psychiatrists, counselors, and clinical social workers treating adolescents and adults, as well as graduate students and trainees across the mental health disciplines. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",,PsycINFO
2013,"Dalal, P.","Dalal, PP; Otey, AJ; McGonagle, EA; Whitmill, ML; Levine, EJ; McKimmie, RL; Thomas, AC; Cook, CH; Papadimos, TJ; Reilley, TE; Bergese, SD; Steinberg, SM; Stawicki, SPA; Evans, DC",Journal Of Surgical Research,Intentional foreign object ingestions: need for endoscopy and surgery,"Background: Intentional ingestion of foreign objects (IIFO) is common in the incarcerated population. This study was undertaken in order to better define clinical patterns of IIFO among prisoners. We sought to determine factors associated with the need for endoscopic and surgical therapy for IIFO. Methods: After obtaining permission to conduct IIFO research in incarcerated populations, study patients were identified by ICD-9 codes. Patient charts were reviewed for demographics; past medical history; IIFO characteristics; and diagnostic, endoscopic, and surgical findings. Univariate and multivariate analyses were performed using statistical software. Results: Thirty patients with 141 episodes of IIFO were identified. The mean number of ingested items per episode was 4.60. Endoscopy was performed in 97 of 141 IIFO instances, with failure to retrieve the ingested object in 21 of 97 cases (22%). Eleven instances (7.8%) required surgical intervention. On multivariate analyses, hospital admission was associated with elevated white blood cell count (odds ratio [OR] 1.4, P < 0.05) and number of items ingested (OR 1.3, P < 0.05). The need for endoscopy was independently associated with ingestion of multiple objects (OR 3.3, P < 0.05) and elevated white blood cell count (OR 1.3, P < 0.05). Surgical therapy was significantly associated with elevated white blood cell count (OR 1.6, P < 0.01) and with increasing number of ingested items (OR 1.07 per item, P < 0.05). Endoscopy is associated with significantly lower odds of surgery (OR 0.13, P < 0.01). Conclusions: Intentional ingestion of foreign objects continues to pose a significant human and economic burden. The need for admission or therapy is frequently associated with leukocytosis. Further investigation is warranted into resource-appropriate triage of patients who present with IIFO. (C) 2013 Elsevier Inc. All rights reserved.",10.1016/j.jss.2013.04.078,Web of Science
