id,Publication Year,First Author,Authors,Publication Title,Summary,Database,DOI,URL,Title,Abstract,Abstract2,Exclude_JGE,Reason_ID_JGE,Exclude_MS,Reason_ID_MS,Exclude_GC,Reason_ID_GC,Review_GC,Comments_GC,Exclude_FINAL,Reason_ID_FINAL
283,2018,"Occhionorelli, S.","Occhionorelli, S; Zese, M; Cappellari, L; Stano, R; Tartarini, D; Vasquez, G",Chirurgia-Italy,,Web of Science,10.23736/s0394-9508.17.04688-5,,Fish Bone Ingestion: Complications And Legal Implications,"Foreign Body (Fb) Ingestion, Which Can Be Accidental Or Intentional, Is Quite Common, Especially In Children, Elderly And Some Categories Of Profession. On The Other Hand, Perforation And Abscess Formation As Complications Of Fb Ingestion Are Rare. Their Presentation Is Not Clinically Different From Other Causes Of Peritonitis And Differential Diagnosis Is Sometimes Difficult. The Most Common Cause Of Fb Perforation Is Due To Fish Bone Ingestion. We Present Two Consecutive Cases Of Complications Associated To Fish Bone Ingestion. In The First Case, Patient Had Diffused Abdominal Pain, Without Laboratory Considerable Signs Of Inflammation. Computer Tomography (Ct) Scan Evidenced Ileal Perforation Due To A Probable Fb; In The Second Case Patient Presented Abdominal Pain, Leukocytosis And Elevated Crp. The Ct Scan Revealed Presence Of Abscess And Omental Inflammation Near Ileum. Both Patients Submitted Surgery. In The First Case, An Enterotomy Was Done, In The Second Case Omentectomy And Abdominal Cleaning Were Performed. Surprisingly, In The Second Case, The Patient Claimed For Damages In The High Suspicion For A Medical Error Occurred In A Previous Operation. Fortunately, The Specimen Exam Revealed The Truth. Complications Due To Fbs Ingestion Must Be Adequately Recognized And Rapidly Treated. Radiological Tools, Especially Ultrasonography And Ct Scan, Can Be Useful To Make Diagnosis But Sometimes This Is Reached Only At The Time Of Intervention.",,False,,,,,,,,False,
284,2018,"Zhang, S.","Zhang, Sw; Wen, Jx; Du, Mm; Liu, Yx; Zhang, Lb; Chu, Xy; Xue, Zq",United European Gastroenterology Journal,,Web of Science,10.1177/2050640618784344,,Diabetes Is An Independent Risk Factor For Delayed Perforation After Foreign Bodies Impacted In Esophagus In Adults,"Background: Perforation Is The Most Serious Complication Of Esophageal Foreign Bodies. Studies Examining The Association Between Diabetes And Esophageal Foreign Body-Induced Perforation Are Largely Non-Existent. Objectives: The Purpose Of This Study Was To Identify The Risk Factors For Esophageal Foreign Body-Induced Perforation. Methods: A Retrospective Chart Review Of Patients With Esophageal Foreign Bodies Between January 2012-January 2017 Was Performed At The Chinese People'S Liberation Army General Hospital. The Patients Were Divided Into Two Groups: Those Complicated With Perforation And Those Without Perforation. Date On Patient Demographics, Symptoms, Foreign Bodies, And Diabetes Were Collected And Analyzed. Study-Specific Odds Ratio And 95% Confidence Intervals (Ci) Were Estimated Using Multivariable Logistic Regression Models. Results: Of 294 Patients With Esophageal Foreign Bodies (41.84% Male, Mean Age, 56.73 Years), 33 (11.22%) Complicated By Perforation. Diabetes (Odds Ratio = 6.00; 95% Confidence Interval = 1.72-20.23), Duration (> 24 H) Of Foreign Bodies Retention (Odds Ratio = 4.25; 95% Confidence Interval = 1.71-10.86), And Preoperative Fever (Odds Ratio = 8.19; 95% Confidence Interval = 3.17-21.74) Were Strongly Associated With An Increased Risk Of Perforation, Whereas The Sensation Of A Foreign Body (Odds Ratio = 0.32; 95% Confidence Interval = 0.09-0.92) Was A Protective Factor Of Perforation. Glucose Level Was Not Observed To Have An Association Among Patients With Or Without Perforation. Conclusions: Diabetes And Duration Of Foreign Body Retention Increase Risk For Esophageal Foreign Bodies Complicated By Perforation, And Cases With Elevated Armpit Temperature May Represented A More Likely Perforation Compared With Those Without Fever.",,False,,,,,,,,False,
287,2018,"Temel..., H.","Hacer Ya_Ar Teke1, Muhammet Can2, Tlay Renklida_3, Nevriye Temel3, Asude Gkmen3",,"HY Teke, M Can, T Renklidağ, N Temel... - p-ISSN 1300-865X e ... - pdfs.semanticscholar.org",Google Scholar,10.17986/blm.2018241707,https://pdfs.semanticscholar.org/f469/fae31b6e729ea75d77e70608d5fd57e2a5b6.pdf,Baby Death Due To Esophagotracheal Fistula Created By An Alkaline Battery: A,There Is A Limited Number Of Case Presentations In Literature Related To Esophagus Burns And Complications As A Result Of Swallowing An Alkaline Battery. The Main Purpose Of This Case ...,"There is a limited number of case presentations in literature re-
lated to esophagus burns and complications as a result of swallow-
ing an alkaline battery. The main purpose of this case presentation
was to discuss the autopsy findings of late-developing complications
of swallowing an alkali battery in the light of the relevant literature.
On the chest radiography of a 9-month old baby with complaints
of vomiting for three days, an opacity was observed consistent with
a foreign body in the esophagus. Esophagoscopy was applied and
the swallowed battery was removed. On the fifth day after the opera-
tion, no complication has been observed to oral feeding was started
and on the following day the patient was discharged. Four days after
discharge, the patient was again brought to hospital with complaints
of blood in vomit and was again hospitalized with a diagnosis of
chemical esophageal burn. The patient died on the following day.
In the performed autopsy, findings of esophagotracheal fistula, cor-
rosive burn and gastrointestinal system bleeding were determined.
As the dimensions of an alkaline battery increase, the contact
surface increases and may this cause greater damage and toxicity. A
long contact period also increases the toxic effect of the battery. Ear-
ly diagnosis is essential to prevent late-developing complications.",False,,,,,,,,False,
288,2018,"Tanimoto, C.",Tanimoto C.; Yayama S.; Suto S.; Matoba K.; Kajiwara T.; Inoue M.; Endo Y.; Yamakawa M.; Makimoto K.,East Asian Archives Of Psychiatry,,SCOPUS,10.12809/eaapl81732,,Self-Harm And Suicide Attempts In A Japanese Psychiatric Hospital,"Objective: Self-Harm And Attempted Suicide Are Risk Factors For Suicide In Psychiatric Hospital In-Patients. This Study Aimed To Analyse The Circumstances Of Self-Harm And Suicide Attempts In A Japanese Psychiatric Hospital So As To Improve Management And Care. Methods: Incident Reports Of Self-Harm And Suicide Attempts During A 12.4-Year Period From November 2000 To March 2013 Were Reviewed. A Descriptive Analysis Was Conducted In Terms Of Age, Sex, And Diagnosis Of Patients, As Well As Level, Ward, Situations, And Causes Of Incidents. Results: During The Study Period, 90 Cases Of Self-Harm And Attempted Suicide Involving 58 Patients Were Reported. The Rate Of Self-Harm And Suicide Attempts Was 0.05 Per 1000 Patient-Days. The Types Of Self-Harm And Suicide Attempts Included Hanging (N = 25), Wrist Cutting (N = 19), Ingestion Of Foreign Objects (N = 17), And Others (N = 29). The Single Case Of Completed Suicide Involved Hanging, In A Patient With Schizophrenia. Among 55 Patients With Relevant Data, The Most Common Clinical Diagnosis Was Mood Disorder (41.8%), Followed By Schizophrenia (36.4%). Mood Disorder Was 3.5 Times As Prevalent In Females As In Males (14 Vs. 4). Fourteen Patients With Mood Disorder (N = 8) Or Schizophrenia (N = 6) Were Repeatedly Involved In 46 Of 89 Cases Of Self-Harm Or Attempted Suicide; 11 Were Female. One Woman With Mood Disorder Attempted Suicide 9 Times Within The Same Year. The Top 3 Management And Care Factors Related To Self-Harm And Suicide Attempts Were Failure To Adhere To Preventive Procedures (28%), Insufficient Therapeutic Communication (28%), And Difficulty In Predicting Suicide (20%). Conclusion: Self-Harm And Suicide Attempts At This Psychiatric Hospital Occurred At A Rate Of 0.05 Per 1000 Patient-Days Between Late 2000 And Early 2013. Efforts Are Needed To Increase Compliance With Suicide Prevention Procedures And Therapeutic Communication, So As To Improve Management And Care Of Psychiatric In-Patients And Prevent Them From Committing Suicide. © 2018 Hong Kong College Of Psychiatrists.",,False,,,,,,,,False,
289,2018,"Sola, R.","Sola, Richard Jr; Rosenfeld, Eric H.; Yu, Yangyang R.; St Peter, Shawn D.; Shah, Sohail R.",Journal Of Pediatric Surgery,,PubMed,10.1016/j.jpedsurg.2017.08.013,,Magnet Foreign Body Ingestion: Rare Occurrence But Big Consequences,"Purpose: To Review The Outcomes Of Magnet Ingestions From Two Children'S Hospitals And Develop A Clinical Management Pathway. Methods: Children <18Years  Old Who Ingested A Magnet Were Reviewed From 1/2011 To 6/2016 From Two Tertiary  Center Children'S Hospitals. Demographics, Symptoms, Management And Outcomes Were  Analyzed. Results: From 2011 To 2016, There Were 89 Magnet Ingestions (50 From  Hospital 1 And 39 From Hospital 2); 50 (56%) Were Males. Median Age Was 7.9  (4.0-12.0) Years; 60 (67%) Presented With Multiple Magnets Or A Magnet And A  Second Metallic Co-Ingestion. Suspected Locations Found On Imaging Were: Stomach  (53%), Small Bowel (38%), Colon (23%) And Esophagus (3%). Only 35 Patients (39%)  Presented With Symptoms And The Most Common Symptom Was Abdominal Pain (33%). 42  (47%) Patients Underwent An Intervention, In Which 20 (23%) Had An Abdominal  Operation. For Those Undergoing Abdominal Surgery, An Exact Logistic Regression  Model Identified Multiple Magnets Or A Magnet And A Second Metallic Object  Co-Ingestion (Or 12.9; 95% Ci, 2.4 - Infinity) And Abdominal Pain (Or 13.0; 95%  Ci, 3.2-67.8) As Independent Risk Factors. Conclusion: Magnets Have A High Risk  Of Requiring Surgical Intervention For Removal. Therefore, We Developed A  Management Algorithm For Magnet Ingestion. Level Of Evidence: Level Iii.",,False,,True,3.0,False,,Unclear,"Likely to be accidental , but might include some intentional ",False,
290,2018,"Sasso, R.","Sasso, Roula; Bachir, Rana; El Sayed, Mazen",Western Journal Of Emergency Medicine,,PubMed,10.5811/westjem.2018.4.37198,,Suffocation Injuries In The United States: Patient Characteristics And Factors Associated With Mortality,"Introduction: Asphyxiation Or Suffocation Injuries Can Result In Multi-Organ Damage And Are A Major Cause Of Morbidity And Mortality Among Different Age  Groups. This Study Aims To Describe Characteristics Of Patients Presenting With  Suffocation Injuries To Emergency Departments (Eds) In The United States (U.S.)  And To Identify Factors Associated With Mortality In This Population. Methods: We  Conducted A Retrospective Cross-Sectional Study Using The 2013 U.S National  Emergency Department Sample Database. Ed Visits With Primary Diagnoses Of  Intentional Or Accidental Suffocation Injury, And Injury By Inhalation And  Aspiration Of Foreign Bodies Or Food (Icd-9-Cm Codes) Were Included. We Performed  Descriptive Statistics To Describe The Study Population. This Was Followed By  Multivariate Analyses To Identify Factors Associated With Mortality. Results: We  Included A Total Of 27,381 Ed Visits For Suffocation Injuries. Most Suffered From  Either Inhalation And Ingestion Of Food Causing Obstruction Of Respiratory Tract  Or Suffocation (51.6%), Or Suicide And Self-Inflicted Injury By Hanging,  Strangulation, And Suffocation (39.4%). Overall Mortality Was 10.9%. Over Half  (54.7%) Of The Patients Were Between 19 And 65 Years Old. Males Were More Common  Than Females (59.1% Vs. 40.9%). Over Half Of The Patients (54.9%) Were Treated  And Released From The Ed. Factors Associated With Increased Mortality Included  Male Gender, Young Age (4-18 Years), Diseases Of The Cardiac, Respiratory,  Genitourinary And Neurologic Systems, Intentional Self-Harm, And Self-Payer  Status. Conclusion: Mortality From Suffocation Injuries Remains High With  Significant Burden On Children And Adolescents And On Patients With Intentional  Injuries. Tailored Initiatives Targeting Identified Modifiable Factors Through  Implementation Of Behavioral And Environmental Change Can Reduce The Risk Of  Suffocation Injury And Improve Clinical Outcomes Of Affected Victims.",,False,,,,,,,,False,
291,2018,"Rosenfeld, E.","Rosenfeld, Eric H.; Sola, Richard Jr; Yu, Yangyang; St Peter, Shawn D.; Shah, Sohail R.",Journal Of Pediatric Surgery,,PubMed,10.1016/j.jpedsurg.2018.01.017,,Battery Ingestions In Children: Variations In Care And Development Of A Clinical Algorithm,"Purpose: To Review Current Management And Outcomes Of Ingested Batteries And Develop A Clinical Management Algorithm. Methods: Children <18Years Old Who  Ingested A Battery Between 1/2011 And 9/2016 At Two Tertiary Care Children'S  Hospitals Were Reviewed. Demographics, Imaging, Management And Outcomes Were  Analyzed Using Descriptive Statistics, Chi-Square And Wilcoxon Rank-Sum Tests.  Results: There Were 180 Battery Ingestions. The Median Age Was 3.9 (Range 0.7-18)  Years, With 78 (43%) Males. The Most Common Symptoms Were Abdominal Pain (17%)  And Nausea/Vomiting (14%). Diagnosis Was Confirmed With Plain Radiographs In 170  (94%) Patients. Locations On Imaging Were: Stomach (37%), Small Bowel (24%),  Esophagus (18%), Colon (11%), And Non-Specific Location Past The Gastroesophageal  Junction (9%). Treatment Was Dictated By Five Different Subspecialties Including  Surgery (35%), Gastroenterology (25%), Emergency Medicine (19%), Primary  Care/Emergency With A Consulting Service (13%), And Otolaryngology (8%). All  Esophageal Batteries (N=33) Had An Intervention. Interventions Included  Fluoroscopic Balloon Extraction (6 Attempted, 33% Retrieval Rate), Rigid  Esophagoscopy (26 Attempted, 96% Retrieval Rate), And Egd (6 Attempted, 83%  Retrieval Rate). For Batteries Distal To The Gastroesophageal Junction 16 (11%)  Patients Had An Intervention. Interventions Included Egd (13 Patients, 69%  Retrieval), Colonoscopy (1 Patient, Successful Retrieval), And Abdominal Surgery  In Two Patients. Conclusion: Isolated Batteries That Pass The Gastroesophageal  Junction Rarely Require Intervention And Can Be Managed Conservatively. Given The  Variability In Managing These Patients, We Developed An Evidence Based Algorithm.  Level Of Evidence: Level 2. Study Type: Retrospective Study.",,False,,,,,,,,False,
292,2018,"Riva, C.","Riva, Carlo Galdino; Toti, Francesco Angelo Taddàus; Siboni, Stefano; Bonavina, Luigi",Bmj Case Reports,,PubMed,10.1136/bcr-2018-225241,,Unusual Foreign Body Impacted In The Upper Oesophagus: Original Technique For Transoral Extraction,"Foreign Body Ingestion Is A Common Event; In The Adult Population, Most Ingestions Occur In Patients With Mental Disability, Psychiatric Disorders,  Alcohol Intoxication Or In Prisoners Seeking Secondary Gain. Removal Through  Flexible Endoscopy Is Generally The First-Line Approach But Rescue Oesophagotomy  May Be Necessary For Foreign Bodies Impacted In The Upper Oesophagus. A  27-Year-Old Man Was Admitted In The Emergency Room After Intentional Ingestion Of  A Wooden Spherical Object With A Central Hole. A Total Body Ct Scan Showed That  The Object Was Completely Obstructing The Upper Oesophageal Lumen But There Were  No Signs Of Perforation. In The Operating Room, A Weerda Diverticuloscope And A  5 Mm 0° Telescope Were Used To Visualise The Foreign Body Under General  Anaesthesia. A Standard Endoscopic Biopsy Forceps Was Passed Through The Hole Of  The Sphere And Was Retracted With The Jaws Open Allowing Transoral Extraction  Without Complications.",,False,,,,,,,,False,
293,2018,"Zhong, B.",Zhong B.-L.; Xu Y.-M.; Xie W.-X.; Chen W.-C.; Lu J.,Frontiers In Psychiatry,,SCOPUS,10.3389/fpsyt.2018.00325,,Prevalence Of Deliberate Self-Harm Among Chinese Patients With Heroin Dependence: A Meta-Analysis,"Background: There Is Paucity Of Data Regarding The Prevalence And Methods Of Deliberate Self-Harm (Dsh) In Patients With Heroin Dependence In International Literature. In China, There Have Been A Few Studies Investigating The Prevalence Of Dsh In Heroin-Dependent Patients (Hdps), But Their Rates Varied Widely. We Thus Conducted A Meta-Analysis Of Studies Assessing The Prevalence Of Dsh Among Chinese Hdps. Methods: Relevant Studies Were Retrieved From Major Chinese Databases (China National Knowledge Infrastructure, Wanfang Data, And Sinomed) And Western Databases (Pubmed, Embase, And Psycinfo). Two Authors Independently Identified Eligible Studies And Extracted Data. Studies That Included A Representative Sample Of Chinese Hdps And Ascertained Dsh Caseness In A Reliable Way Were Considered As High Quality. Statistical Analysis Was Performed Using R Software. Results: In Total, 15 Eligible Studies With A Total Of 37,243 Chinese Hdps Were Included. All Included Studies Were Conducted In Heroin Detoxification Settings. Only Two Studies Were Rated As High Quality. The Pooled Prevalence Of Dsh In Chinese Hdps Was 4.4% (95%Ci: 2.9, 6.2%), But The Heterogeneity Of Prevalence Rates Across Studies Was Significant (I2 = 98%, P < 0.001). Studies Rated As High Quality Had Significantly Higher Prevalence Of Dsh Than Those Rated As Low Quality (13.2 Vs. 3.4%, P < 0.001). Swallowing Foreign Objects Was The Most Common Method Of Dsh, With A Combined Prevalence Of 2.7% (95%Ci: 1.6, 4.4%). Extreme Dsh Methods Such As Cutting Offfingers And Jumping From Height Were Also Not Uncommon In This Patient Population. Conclusion: Due To Methodological Problems In Available Studies, We Find A Relatively Low Prevalence Of Dsh Among Chinese Hdps Receiving Detoxification Treatment. Nevertheless, The Self-Harmers Of Chinese Hdps Are More Likely To Harm Themselves In A Dangerous Or Life-Threatening Way. Restricting The Availability Of Dsh Methods May Be An Effective Way To Prevent Or Reduce Dsh In China'S Detoxification Treatment Settings. © 2018 Zhong, Xu, Xie, Chen And Lu.",,False,,False,,,,,,False,
295,2018,"Ing, R.","Ing, Richard J.; Hoagland, Monica; Mayes, Lena; Twite, Mark",Canadian Journal Of Anaesthesia = Journal Canadien D'Anesthesie,,PubMed,10.1007/s12630-017-1023-9,,The Anesthetic Management Of Button Battery Ingestion In Children,"Purpose: Injuries Related To Button Battery Ingestion Are Common In Children. This Review Provides An Outline Of The Epidemiology, Pathophysiology, Management,  And Anesthetic Implications In Children Who Have Ingested A Button Battery.  Source: A Literature Search Was Conducted In The United States National Library  Of Medicine Pubmed Database Using The Terms ""Button Battery Ingestion"" And  ""Children' And ""Removal"" And ""Surgery"" And ""Anesthesia"". Ninety-Six Articles  Published In English Were Found From 1983-2017, And 62 Of These Articles Were  Incorporated Into This Review. Additionally, The Internet Was Searched With The  Terms ""Button Battery Ingestion And Children"" To Identify Further Entities,  Organizations, And Resources Affiliated With Button Battery Ingestion In  Children. These Additional Sources Were Studied And Included In This Review.  Principal Findings: Button Batteries Are Ubiquitous In Homes And Electronic  Devices. Since 2006, Larger-Diameter And Higher-Voltage Batteries Have Become  Available. These Are More Likely To Become Impacted In The Esophagus After  Ingestion And Lead To An Increase In Severe Morbidity And Mortality Due To  Caustic Tissue Injury. Children At The Highest Risk For Complications Are Those  Under Six Years Of Age Who Have Ingested Batteries > 20 Mm In Diameter And  Sustain Prolonged Esophageal Impaction At The Level Of The Aortic Arch With The  Negative Pole Oriented Anteriorly. Conclusion: Anesthesiologists Need To Know  About The Epidemiology, Pathophysiology, Complications, And Anesthetic Management  Of Children Who Have Ingested Button Batteries.",,False,,,,,,,,False,
296,2018,"Hom, M.",Hom M.A.; Rogers M.L.; Schneider M.E.; Chiurliza B.; Doerfler L.A.; Walsh B.W.; Joiner T.E.,Journal Of Nervous And Mental Disease,,SCOPUS,10.1097/nmd.0000000000000865,,Atypical And Severe Nonsuicidal Self-Injury As An Indicator Of Severe Psychopathology: Findings From A Sample Of High-Risk Community Mental Health Clients,"This Study Examined Whether Atypical/Severe Nonsuicidal Self-Injury (Nssi; E.G., Foreign Body Ingestion, Cutting Necessitating Sutures) Serves As A Marker Of Severe Psychopathology Among 467 Adult Community Mental Health Clients (N = 33 With An Atypical/Severe Nssi History). Information Regarding Psychiatric Risk Indicators Was Extracted From Participants’ Psychiatric Records. Generalized Linear Models With Negative Binomial Distribution And Log Link Function, As Well As Chi-Square Tests, Were Used To Address Study Aims. Clients With A Lifetime Atypical/Severe Nssi History Met Criteria For A Significantly Greater Number Of Psychiatric Risk Indicators Than Clients With A Lifetime History Of Common Nssi Only; However, These Clients Were Not Significantly More Likely To Report Recent Suicidal Actions. Individuals With An Atypical/Severe Nssi History May Demonstrate More Severe Psychopathology Than Those With A History Of Common Nssi Only. Thus, It May Be Clinically Useful To Consider Individuals With An Atypical/Severe Nssi History As A High-Risk Subgroup. © 2018 Wolters Kluwer Health, Inc. All Rights Reserved.",,False,,,,,,,,False,
297,2018,"Gurevich, Y.","Gurevich, Yoseph; Sahn, Benjamin; Weinstein, Toba",Current Opinion In Pediatrics,,PubMed,10.1097/mop.0000000000000670,,Foreign Body Ingestion In Pediatric Patients,"Purpose Of Review: The Purpose Of This Article Is To Review Clinical Manifestations And Management Of Common Pediatric Foreign Body Ingestions, With A  Particular Focus On Some Of The Current Trends. Recent Findings: Foreign Body  Ingestion (Fbi) Is A Problem That Is Frequently Encountered By Pediatric  Providers. As New Toys And Products Enter The Marketplace, There May Also Be New  Dangers From Those Objects Not Initially Recognized. Some Of The Recent Trends  And Findings In Pediatric Fbi Include An Increase In Adolescent Injury From  Ingestion Of Laundry Detergent Pods Because Of A Popular Game Where Participants  Are Encouraged To Bite Or Swallow The Pods, And Injuries Associated With  Ingesting Parts Of A Popular Toy Known As A 'Fidget Spinner'. Summary: Adverse  Events Resulting From Fbi Range The Entire Gamut From Nonexistent Or Minor  Symptoms To Moderate Injury And Rarely May Be Fatal. Factors Such As Age, Type Of  Object Ingested, Anatomic Location Of The Foreign Body, And Timing From Ingestion  To Receipt Of Medical Attention All Determine The Risk Posed To The Child And  Guide Management Decisions. Because Of The Constant Development Of Products, And  The Potential For The Emergence Of New And Dangerous Trends Among Children,  Continued Surveillance By The Medical Community Is Important In Monitoring And  Managing Injuries Associated With Fbi.",,False,,,,,,,,False,
299,2018,"Elsherbeny, M.","Elsherbeny, Ms; Allam, Am; El-Asmar, Km",Annals Of Pediatric Surgery,,Web of Science,10.1097/01.xps.0000531234.16566.2a,,Foreign Body Ingestion In Children: Unusual Presentations And Timely Intervention,"Background/Purpose Foreign Body (Fb) Ingestion In Children Is Very Common. Children Can Ingest A Wide Variety Of Fbs. Most Of The Ingested Fbs Pass Spontaneously Through The Gastrointestinal Tract. Other Fbs, Especially Uncommonly Ingested Objects, Can Present With Complications And Need Intervention To Be Extracted. The Aim Of This Study Was To Highlight The Importance Of Timely Intervention To Extract These Fbs. Patients And Methods Between November 2012 And October 2017, Patients Who Presented To Our Department With Variously Ingested Fbs Were Retrospectively Reviewed To Detect Those Who Needed Intervention (Surgical Or Endoscopic) To Extract These Fbs. Results During The Specified Time Period, 480 Patients With Fb Ingestion Presented To Our Department. Out Of These Children, 12 Patients Ingested Uncommon Fbs Or Presented With Symptoms Of Complications Of Impaction And Needed Intervention To Extract These Fbs. Three Patients Ingested Multiple Magnets. Three Patients Ingested Pins Which Were Impacted In And Penetrated The Duodenum. One Patient Ingested A Screw Which Was Impacted In The Appendix. One Patient Ingested A Sticky Rubber Toy Which Was Impacted In The Pylorus. One Patient Ingested Hair (Bezoar), Which Was Also Impacted In The Pylorus. One Patient Ingested A Disk Battery Which Was Impacted In And Penetrated The Esophagus, And All Were Surgically Extracted. One Patient Had A Slipped Stent Of Repaired Choanal Atresia Which Was Impacted In The Gastroesophageal Junction And One Patient With Repaired Tracheoesophageal Fistula Ingested A Stone Which Was Impacted At The Site Of Esophageal Anastomosis, And Both Were Endoscopically Retrieved. Conclusion Children Who Ingested Uncommon Fbs Or Presented Late With Symptoms Of Complications Of Impaction Needed Intervention (Surgically Or Endoscopically) To Extract These Fbs. (C) 2018 Annals Of Pediatric Surgery.",,False,,,,,,,,False,
300,2018,"Cui, J.","Cui, Jason; Cross, Trent; Lockwood, David",International Journal Of Surgery Case Reports,,PubMed,10.1016/j.ijscr.2018.03.018,,Ingested Razor Blades Within The Appendix: A Rare Case Report,"Introduction: Foreign Body Ingestion Is A Common Clinical Presentation With Less Than 1% Of The Cases Requiring Surgical Intervention. In This Report, We Present  A Rare Case Of Razor Blades Lodged In The Appendix As A Result Of Intentional  Ingestion. Presentation Of Case: A 25 Year Old Male Prisoner Presented To Our  Hospital With Persistent Right Iliac Fossa Pain After Razor Blade Ingestion.  After 5 Days Of Conservative Management, There Was No Sign Of Transition On  Serial X-Rays. Laparoscopy With Intraoperative Image Intensification Confirmed  The Presence Of The Razor Blades In The Appendix And Appendicectomy Was  Subsequently Performed Without Complications. Discussion: Most Ingested Objected  With Diameter Less Than 2.5 Cm And Length Less Than 6 Cm Can Pass Through The  Gastrointestinal Tract Spontaneously In Less Than One Week. The Entry Of Foreign  Objects Into The Appendix Is Thought To Be Due To Relative Low Motility Of The  Caecum, The Dependent Position Of The Appendix And The Size Of The Appendiceal  Orifice. Radiographic Localisation To The Appendiceal Lumen Was Complicated By  Metallic Artefact, But Was Consistent With Failure To Transit. Appendicectomy Was  Felt To Be The Safest Mode Of Retrieval. Conclusion: Ingested Foreign Body Lodged  In The Appendix Is A Rare Event. Once The Exact Location Is Confirmed, A Simple  Laparoscopic Appendicectomy Can Be Performed To Facilitate The Removal.",,False,,,,,,,,False,
303,2018,"Bolton, S.","Bolton, Scott M.; Saker, Martha; Bass, Lee M.",Current Opinion In Pediatrics,,PubMed,10.1097/mop.0000000000000665,,Button Battery And Magnet Ingestions In The Pediatric Patient,"Purpose Of Review: Pediatric Foreign Body Ingestion Is A Common Occurrence That Presents A Challenge Both To Pediatric Gastroenterologists And Primary Care  Providers. Increasing Prevalence Of Smaller, More Technologically Advanced Toys  In The Household Has Resulted In An Increased Exposure To Higher Voltage  Batteries And Powerful Magnets That Carry A High Incidence Of Morbidity And  Mortality. This Review Highlights The Latest Findings Regarding The Patients At  Risk For Button Battery And Magnet Ingestions, The Symptoms Of Presentation, And  Complications Of These Objects In Contributing To Long-Standing Gastrointestinal  Injury. Recent Findings: Button Batteries May Lead To Esophageal Injury Within A  Few Hours. Batteries Retained In The Esophagus Are Larger In Diameter On Average  And Size Is Associated With Esophageal Impaction As Well As Higher Grade  Esophageal Injury. Magnet Ingestions, When Multiple Or With Another Metallic  Object, Are Often Initially Asymptomatic But May Have Acute Worsening, And  Therefore Warrant Close Monitoring. Summary: Button Battery And Magnet Ingestions  Have Increased In Incidence Over The Past Two Decades. Recent Literature  Demonstrates That Higher Voltage, Larger Lithium Button Batteries, And Prevalence  Of High-Powered Magnets Can Lead To Significant Morbidity. High Suspicion, Early  Referral, And Removal May Lead To Improved Outcomes.",,False,,,,,,,,False,
304,2018,"Jarmon, E.","Jarmon, E; Vieux, U",Psychiatric Annals,,Web of Science,10.3928/00485713-20180906-01,,Deliberate Foreign Body Ingestion,,,False,,,,,,,,False,
307,2019,"Robertson, A.","Robertson, Alexander R.",Suicide & Life-Threatening Behavior,,PubMed,10.1111/sltb.12474,,Self-Harm By Sharp Foreign Body Ingestion,"Objective: Ingestion Of Sharp Foreign Bodies Is A Less Frequently Encountered Method Of Selfharm. This Study Aims To Follow Up Patients Presenting With Foreign  Body (Fb) Ingestion Requiring Urgent Endoscopic Intervention Under General  Anaesthetic In Theatre, Characterise Each Patient And Establish Whether Admission  Or Removal Of The Fb Promotes Further Self-Harm. Method: Eleven Adult Patients,  Totalling 38 Presentations Over A 28-Month Period Were Identified. Each Was  Followed Up From An Initial Presentation Requiring Endoscopy. Result: 9/11  (81.9%) Where Transferred Either From Prison Or Psychiatric Care With An  Extensive History Of Multimodal And Usually Violent Self-Harm. Of These 8/9  (88.9%) Had A Formal Psychiatric Diagnosis Linked To Their Previous Self-Harm.  Objects Retrieved Included Pens, Razor Blades, Cutlery, Wiring, Batteries, A  Metal Screw And A Tv Aerial. The Median Time Between Presentations With Self-Harm  Was 11 Days. Those Discharged From The Emergency Department Re-Presented After A  Median Of 7.5 Days. This Was Longer, At 14 Days, If Admitted To Hospital; With  Those Having Endoscopic Procedures Re-Presenting After A Median Of 11 Days.  Conclusions: Inpatient Endoscopic Removal Of The Fb Was Not Associated With An  Earlier Presentation With Further Self-Harm When Compared With Discharge Straight  Form A+E, But Was Frequently Repeated, Often In A Characterised Manner.",,False,,False,,,,,,False,
308,2019,"Sandison..., E.","Eb Chevretton, I Pai, S Haikel, A Sandison...",The Journal Of ...,"EB Chevretton, I Pai, S Haikel, A Sandison... - The Journal of ..., 2019 - cambridge.org",Google Scholar,10.1017/S0022215119000069 ,https://www.cambridge.org/core/journals/journal-of-laryngology-and-otology/article/proceedings-of-the-153rd-semon-club-13-november-2017-ent-department-guys-and-st-thomas-nhs-foundation-trust-london-uk/315456B9A7CFF613482DC5D3E0E7A5F3,"Proceedings Of The 153Rd Semon Club, 13 November 2017, Ent Department, Guy'S And St Thomas' Nhs Foundation Trust, London, Uk","Discussion At The 153Rd Semon Club, The Panel Were Surprised By The Lack Of Nasal Crusting In This Patient. As The Findings Were Negative For Cytoplasmic Anca, Mr Shahzada Ahmed ...",Abstract not available,False,,,,,,,,False,
